 	i	bambini	non	possono	mangiare	il	gelato	prima	che	che	mangiano	</S>
a8	0.06540186	0.00043212716	0.00013558664	0.0014701264	0.027135346	0.029596323	0.034757927	0.005783891	0.14186373	0.34152305	0.16106941	0.19083063
a31	0.00082337623	0.00034105073	0.007445146	0.0010581625	0.025233654	0.026547648	0.12762909	0.68204427	0.1233026	0.0039160047	0.0016544224	4.488721e-06
a28	0.023577515	0.009369342	0.0010493081	0.00051599025	0.0021178622	0.0030709305	0.48425815	0.22586943	0.16221428	0.07047205	0.016433958	0.0010511681
a31	0.012949177	0.06955561	0.07207604	0.0015136595	0.020270133	0.016282164	0.22018808	0.008678729	0.071598984	0.24235314	0.26014835	0.0043859943
a20	0.030868078	0.13695648	0.40118867	0.00626548	0.07705666	0.062416486	0.046581626	0.0035414414	0.010398106	0.031995203	0.19182931	0.0009024769
a31	0.2510332	0.08197922	0.26153308	0.0043944647	0.10292809	0.12626795	0.03333428	0.002500285	0.0460716	0.030207338	0.059403576	0.00034693576
a21	0.13978843	0.011403878	0.028346654	0.002732876	0.04393358	0.09772313	0.006896057	0.0007558763	0.045393687	0.054130223	0.56444436	0.004451266
a31	0.3253997	0.01577994	0.053878248	0.0045641284	0.10857932	0.28086942	0.02972241	0.0011263075	0.037361268	0.03710552	0.099974215	0.0056395377
a17	0.11168948	0.0062358417	0.008107817	0.00526359	0.044699654	0.072543055	0.01573487	0.0018534603	0.050053626	0.025595127	0.54570895	0.11251459
a29	0.078747846	0.0070056696	0.026859589	0.005781628	0.09952662	0.3651153	0.023827547	0.0039876173	0.089997366	0.033107422	0.2500211	0.016022235
a24	0.032815535	0.0021235591	0.005082534	0.0022266204	0.030523123	0.07512896	0.010761633	0.0012999186	0.044084944	0.030851083	0.70289767	0.06220434
a37	0.01168441	0.0009790815	0.005623054	0.0018353892	0.03186197	0.09201327	0.013972021	0.0020522343	0.075568825	0.045240548	0.6580183	0.061150886
a8	0.03510257	0.003215338	0.009290244	0.0045383275	0.050936427	0.12783056	0.023122964	0.0031885747	0.063971676	0.049863625	0.5921978	0.036741853
a31	0.042657547	0.013454522	0.059073374	0.018858768	0.13717337	0.40782663	0.028571784	0.005471965	0.07043029	0.084382966	0.1315367	0.0005620806
a24	0.018899191	0.0050318767	0.016486207	0.019550405	0.13097338	0.12866019	0.084628716	0.012442566	0.035443034	0.092472434	0.2434293	0.21198276
a31	0.0061461083	0.0033489978	0.050126743	0.022274282	0.15883231	0.27367282	0.036355264	0.0059841685	0.05783541	0.1007594	0.25086412	0.033800445
a17	0.009656899	0.005801136	0.051458776	0.04404618	0.2027029	0.26414004	0.13491955	0.03544237	0.0995929	0.06703782	0.030757	0.0544444
a31	0.013442156	0.009554165	0.14210805	0.03597212	0.16658281	0.21733706	0.027827831	0.015468481	0.11818684	0.15595195	0.08920842	0.008360119
a39	0.012906369	0.009798905	0.09067638	0.059412748	0.21330225	0.2363661	0.09947897	0.033834804	0.10304915	0.045570176	0.01233789	0.08326622
a35	0.039317504	0.03452586	0.19300854	0.06227766	0.15841217	0.14311627	0.05448475	0.02474042	0.080708444	0.10772564	0.051779117	0.049903575
a8	0.03019065	0.02604952	0.22348958	0.07643066	0.20069082	0.1692273	0.047902983	0.024642913	0.06822906	0.053779185	0.023860455	0.05550687
a31	0.01708501	0.015428781	0.16899514	0.09830532	0.18725057	0.20873648	0.053766184	0.04191209	0.10552721	0.05607505	0.018078113	0.028839972
a37	0.019347379	0.017052744	0.14254759	0.07302435	0.23534156	0.21560709	0.09467095	0.02578533	0.07837747	0.024694521	0.0060556508	0.0674954
a38	0.05903148	0.053637184	0.13567859	0.06529322	0.114473514	0.12111771	0.06577114	0.03332319	0.06714705	0.0634411	0.028551633	0.19253422
a31	0.035911568	0.033645906	0.23294093	0.084554136	0.17871302	0.12247531	0.04667041	0.04003263	0.060573142	0.047645025	0.019554758	0.09728322
a0	0.053138815	0.05084463	0.1801678	0.07878858	0.14361128	0.10838297	0.08458821	0.037843116	0.093866535	0.036417477	0.0077227745	0.12462784
a23	0.058807775	0.051087942	0.08694071	0.052474424	0.09373079	0.14123628	0.057235625	0.032196324	0.055940192	0.06851028	0.04295355	0.2588861
a31	0.038663995	0.03724867	0.23425765	0.08830499	0.1734603	0.11082781	0.049611494	0.04332903	0.05991628	0.040800262	0.015479505	0.10810004
a17	0.07163883	0.06991595	0.15136059	0.08596885	0.12191777	0.10304045	0.08903863	0.046322763	0.083967045	0.03625882	0.008888027	0.13168228
a31	0.06728398	0.06443063	0.0885352	0.067027785	0.08543146	0.097280905	0.067059696	0.053606763	0.06447648	0.06587053	0.032783847	0.24621277
a28	0.07886869	0.07793812	0.104733944	0.083199695	0.09450655	0.08909389	0.08465969	0.062531516	0.08127918	0.05191332	0.016252233	0.17502324
a18	0.07723252	0.0758605	0.080222614	0.076141395	0.08088162	0.08517955	0.0765045	0.06326656	0.06837336	0.058528133	0.025397953	0.23241128
a33	0.06412788	0.06278168	0.07333858	0.06401436	0.071866065	0.076630585	0.064032406	0.05697415	0.06344534	0.07294627	0.041158646	0.288684
a8	0.05616504	0.05549625	0.11678803	0.066685185	0.08916463	0.07482117	0.057179302	0.05683135	0.059819404	0.0817183	0.06898952	0.21634181
a31	0.07627205	0.07571831	0.10473584	0.0808345	0.09215493	0.08697143	0.07563748	0.06874353	0.06925431	0.06705313	0.03801856	0.1646059
</S>	0.091174565	0.09082972	0.097004324	0.09188202	0.0951901	0.095321305	0.09024224	0.068076156	0.069039375	0.04690913	0.016245933	0.14808518
