 	i	bambini	non	si	vestono	da	soli	</S>
a31	0.77255696	0.0012013372	0.00025193839	0.0003329036	0.08032826	0.1258138	0.010270453	0.009244255
a0	0.00797377	0.042157773	0.21753429	0.025445713	0.6432948	0.02941842	0.022596402	0.011578936
a31	0.0397321	0.67865777	0.1491536	0.001282847	0.0019931002	0.00029119698	0.12628222	0.0026071505
a17	0.013681315	0.18095525	0.09071695	0.0006370909	0.004133313	0.0014552549	0.5126928	0.19572803
a20	0.019677619	0.35774094	0.5858704	0.0026846286	0.019341726	0.00011901037	0.01445406	0.00011163444
a31	0.2026271	0.13822141	0.5897489	0.0038837718	0.052443925	0.001955648	0.010667617	0.00045157003
a37	0.5235107	0.08098202	0.24646486	0.010015145	0.090394415	0.038153715	0.008723401	0.0017557484
a15	0.48929247	0.049977258	0.2467692	0.014473554	0.09857177	0.06833509	0.0316635	0.0009171333
a46	0.10877201	0.026535043	0.4430242	0.044493098	0.14498319	0.13265207	0.09925372	0.00028663658
a24	0.13129638	0.05118231	0.18774432	0.0810321	0.1549483	0.18884142	0.18626864	0.018686531
a31	0.021872832	0.008449308	0.10900862	0.016920725	0.24705654	0.3729923	0.13932511	0.08437458
a18	0.028326105	0.018408567	0.13827662	0.03663122	0.47168243	0.09373766	0.07945843	0.13347897
a11	0.06704597	0.042908844	0.14828569	0.046370786	0.0832951	0.4911278	0.09801538	0.022950448
a35	0.056550115	0.05149338	0.10161136	0.054146517	0.12956081	0.12487532	0.18937485	0.2923876
a31	0.080717124	0.070543334	0.13095845	0.07340886	0.11996588	0.20168604	0.15242875	0.17029153
a13	0.03786097	0.03666357	0.05706217	0.03790996	0.095268086	0.06860185	0.18793821	0.47869515
a11	0.06088147	0.051883094	0.064646535	0.05305054	0.05813316	0.19619946	0.124392286	0.3908135
a31	0.061852247	0.060352754	0.0647146	0.060639173	0.06449454	0.07665253	0.08483863	0.5264555
a46	0.05712654	0.05664553	0.058385216	0.05673624	0.05907299	0.060601056	0.07269453	0.5787379
a31	0.06607481	0.064905725	0.06756187	0.064983055	0.06510291	0.076104596	0.053459313	0.5418078
a24	0.06234212	0.06220042	0.06274293	0.06219624	0.062628955	0.061727762	0.06325617	0.5629054
a35	0.051668838	0.05022604	0.05201657	0.050399676	0.050742093	0.06673662	0.056318533	0.6218916
a31	0.06939896	0.06774264	0.070859864	0.06791862	0.06834137	0.08543492	0.05844432	0.5118593
a46	0.065713875	0.065536395	0.06612749	0.06554344	0.06575111	0.065818176	0.063422464	0.542087
a31	0.059639	0.05853705	0.060117416	0.058646895	0.058723934	0.07161207	0.053908594	0.578815
</S>	0.071519814	0.07143836	0.07166019	0.07143335	0.07142089	0.07167783	0.069235615	0.5016139
