 	il	vestito	della	sposa	deve	essere	bianco	</S>
a20	0.63210964	0.14817218	0.105952464	0.04862031	0.023751967	0.039100744	0.00013291938	0.0021597857
a31	0.0015254433	0.054080013	0.23383038	0.361281	0.3038136	0.045462027	4.4365715e-06	3.0120173e-06
a7	0.12969518	0.010739672	0.83812326	0.02047684	0.00044427207	0.0004135869	9.878019e-05	8.308251e-06
a31	0.027018307	0.0053710807	0.8603853	0.08538334	0.019209396	0.002430636	9.4555406e-05	0.00010740783
a21	0.0060328105	0.0072194263	0.8716313	0.08957977	0.01918257	0.0063031022	1.7200764e-05	3.3633874e-05
a31	0.06390902	0.008918292	0.66680104	0.1851434	0.03930734	0.03343578	0.0003419994	0.0021431341
a11	0.050446708	0.023501482	0.17676064	0.3094055	0.25802252	0.17275612	0.0028930227	0.0062140264
a31	0.030006863	0.017855419	0.25558805	0.32794473	0.14963293	0.20911968	0.0027379934	0.0071143582
a46	0.01761266	0.022576118	0.06965526	0.4881057	0.24130216	0.14922848	0.007381631	0.0041379305
a31	0.014239112	0.014014798	0.06431	0.47987795	0.13285062	0.2800213	0.007894634	0.00679155
a17	0.028738527	0.03294061	0.05837392	0.38412726	0.11050693	0.30079645	0.022721762	0.06179453
a20	0.03316382	0.029578878	0.04610952	0.21250589	0.08875097	0.48464456	0.026047839	0.0791985
a31	0.048103444	0.048131354	0.055596825	0.12641016	0.061784416	0.18352456	0.044421334	0.43202785
a20	0.07057591	0.07062996	0.07230368	0.0874845	0.075173445	0.10990637	0.06971351	0.44421268
</S>	0.06403078	0.063333	0.064959474	0.07168586	0.06951039	0.12288069	0.06274401	0.4808558
