 	se	vieni	a	casa	ogni	sabato	</S>
a23	0.1636467	0.07387226	0.0061212876	4.323654e-05	0.008327044	0.7407508	0.007238687
a31	0.016949357	0.53713137	0.44372055	0.00074804324	0.0008812805	0.0004715117	9.7932796e-05
a11	0.7916254	0.13116544	0.06105157	0.0062216264	0.0008755686	0.008228461	0.0008319614
a21	0.30040747	0.22731827	0.4399426	0.022259576	0.0037639504	0.0047794315	0.0015286568
a31	0.26561537	0.2647573	0.44439933	0.017515635	0.007235867	0.00036364188	0.00011283363
a20	0.31846064	0.27818072	0.38651597	0.00785199	0.007754708	0.0010433592	0.00019257487
a31	0.3948444	0.230026	0.3469492	0.006893439	0.010980836	0.005848838	0.0044572293
a10	0.28057617	0.18233278	0.45446303	0.026684629	0.030302469	0.00897511	0.016665794
a31	0.17414773	0.14351474	0.3606586	0.009874193	0.060362697	0.14713554	0.10430652
a21	0.13880524	0.118295774	0.21380498	0.046993222	0.31308427	0.14045686	0.02855969
a11	0.0798636	0.09024051	0.17195983	0.043216333	0.30441907	0.23790324	0.07239741
a3	0.05997017	0.059179474	0.071933456	0.03904221	0.34906262	0.3871672	0.033644952
a33	0.053381007	0.055335473	0.06133556	0.04480532	0.32350343	0.41383988	0.047799353
</S>	0.02891007	0.029953612	0.0319276	0.028624207	0.28982955	0.4436986	0.14705637
