 	non	ho	cosa	a	fare	</S>
a8	0.0762294	0.036876578	0.08290373	0.45981288	0.34209487	0.00208261
a31	0.013683108	0.34990275	0.59728354	0.033769578	0.0052245157	0.00013651747
a37	0.049661946	0.41977304	0.49115258	0.01926494	0.018514967	0.0016325266
a10	0.0627715	0.06987139	0.501413	0.22982515	0.1158052	0.02031375
a37	0.03814485	0.08701129	0.5355502	0.32153693	0.012437234	0.005319483
a10	0.29199734	0.028760267	0.26856393	0.38968474	0.020543052	0.00045058635
a0	0.3107532	0.043462794	0.06200615	0.17024808	0.39023682	0.02329291
a20	0.3516035	0.043635994	0.079488695	0.19205615	0.2868339	0.046381764
a17	0.13188915	0.08778841	0.0504922	0.15705658	0.52892596	0.04384769
a20	0.1262348	0.12688686	0.08633212	0.18890025	0.39746815	0.074177824
a8	0.10102207	0.1040395	0.102711864	0.14680062	0.386899	0.15852687
</S>	0.12618959	0.13155034	0.13122346	0.12794363	0.23005442	0.25303856
