 	mia	figlia	vuole	andare	</S>
a46	0.025598379	0.11551234	0.7380036	0.119234405	0.0016513021
a31	0.1813472	0.30301782	0.43740964	0.07545095	0.002774389
a7	0.04660899	0.85542935	0.09451395	0.0027863248	0.0006614246
a20	0.016585177	0.13193266	0.29360932	0.41954562	0.13832721
a31	0.048507277	0.09219474	0.30488276	0.5332001	0.02121512
a46	0.103107125	0.039011426	0.095140874	0.756157	0.0065836417
a31	0.1302102	0.077844374	0.08592134	0.5375537	0.16847038
a46	0.16398357	0.22917219	0.34344238	0.12793712	0.13546479
a31	0.18743618	0.32400212	0.28982368	0.058605623	0.14013246
a11	0.22602826	0.27120334	0.26540294	0.08030039	0.15706505
a3	0.251066	0.2769497	0.25289622	0.059939828	0.15914834
a31	0.24638182	0.26308385	0.24896152	0.081292085	0.16028072
a27	0.18748441	0.19042464	0.19246878	0.13615954	0.29346263
a0	0.21212436	0.2213753	0.21732487	0.11821997	0.23095548
</S>	0.25826135	0.30987746	0.24303555	0.054693546	0.13413204
