 	i	bambini	non	lo	possiamo	non	possono	mangiare	il	gelato	prima	che	mangiano	</S>
a20	0.037999086	0.004183788	0.00026216343	0.000102124664	0.00017703424	0.014046523	0.0099558225	0.02075302	0.02113148	0.017200412	0.017495982	0.617791	0.13369372	0.10520785
a31	7.339575e-05	0.00019531217	0.00064379943	0.00091886846	0.00043627416	0.19844835	0.054366343	0.5084465	0.11998394	0.10830072	0.0028092219	0.0035195388	0.0018541113	3.5408646e-06
a10	0.0038172484	0.012786041	0.0022242616	0.000597665	0.0032920644	0.003402121	0.0016425151	0.04799265	0.20211953	0.6506507	0.0015339744	0.04800556	0.021351933	0.00058373716
a17	0.007476447	0.032239374	0.06601213	0.065389976	0.04239091	0.10412828	0.01819074	0.2999186	0.13935749	0.03585243	0.015544006	0.022540804	0.1497385	0.0012203678
a20	0.021571353	0.07516473	0.148538	0.15127963	0.06657259	0.18011999	0.08907611	0.17551999	0.036418475	0.009693067	0.043087047	0.0011116646	0.0018171775	3.0202531e-05
a31	0.039830852	0.009540154	0.037293114	0.0629197	0.05261145	0.3288392	0.12883916	0.25454965	0.03763912	0.006200194	0.02005802	0.0048693274	0.016452767	0.0003573015
a0	0.059946187	0.005014094	0.013622769	0.027910678	0.031641558	0.30955732	0.10415829	0.2919952	0.057391092	0.0061700973	0.009375457	0.016485516	0.06554553	0.0011861819
a7	0.2433872	0.008445833	0.020746453	0.02434948	0.018745638	0.061319467	0.06456966	0.32931513	0.13840964	0.018028269	0.012553514	0.030938048	0.028628193	0.000563486
a20	0.11148433	0.0027980965	0.010067016	0.016932009	0.022166353	0.16412324	0.09310543	0.2808159	0.09173437	0.007949929	0.0070608077	0.060724266	0.12534441	0.005693887
a23	0.10377312	0.004098416	0.010358713	0.01488271	0.025945686	0.1511417	0.09115137	0.28961354	0.13067645	0.009961257	0.0033726993	0.037606746	0.11765485	0.009762786
a31	0.13363838	0.008072538	0.01895188	0.023994897	0.048865758	0.18336774	0.09327089	0.27840865	0.076341026	0.0076080863	0.0035045007	0.040665522	0.08079374	0.0025164108
