 	non	sapeva	dove	a	stare	</S>
a20	0.03890447	0.010179847	0.13368389	0.059975214	0.7494493	0.0078072883
a31	0.061539754	0.64049685	0.20338628	0.0043612737	0.079850145	0.010365717
a37	0.15611851	0.16152869	0.5557419	0.10253589	0.019301802	0.0047731637
a38	0.005916291	0.012926865	0.685455	0.031925548	0.22291422	0.040862065
a31	0.016582286	0.087601244	0.6876753	0.011145117	0.1960295	0.00096654735
a41	0.43199417	0.10869621	0.09584214	0.11367012	0.22134337	0.028453974
a10	0.12133758	0.052661356	0.08113254	0.3681846	0.2835997	0.09308418
a20	0.053256474	0.036171135	0.04884353	0.28459698	0.5555587	0.021573255
a9	0.03443876	0.029298263	0.08233868	0.30276793	0.52643836	0.024717983
</S>	0.032240894	0.029711269	0.11223141	0.31240323	0.44604462	0.067368634
