 	si	è	rotta	la	coppa	</S>
a31	0.0009107608	0.0004954559	0.0063311397	0.023106195	0.8537634	0.11539296
a20	0.0012820326	0.28239918	0.6653937	0.0040737567	0.03403982	0.012811576
a19	0.0006612665	0.005304092	0.98502916	0.0007246382	0.007012495	0.0012683143
a18	6.834686e-05	0.018312525	0.9696694	0.008913793	0.0020694297	0.00096653117
a27	0.0030901402	0.018962242	0.9464969	0.005404525	0.014172277	0.011873859
a31	0.11111427	0.16129585	0.3361073	0.0808135	0.297444	0.013225006
a39	0.003550136	0.005922943	0.008250658	0.05339297	0.9217807	0.007102619
a31	0.020743135	0.03436648	0.038120314	0.19317026	0.6973768	0.016223013
a46	0.013608009	0.015298305	0.016856987	0.24996798	0.6325262	0.07174248
a31	0.021909459	0.029556528	0.058043033	0.62715644	0.16087629	0.102458246
a20	0.07631074	0.077045865	0.063790984	0.15623434	0.12875426	0.49786377
</S>	0.08770803	0.09017864	0.08297825	0.20657818	0.106448226	0.42610863
