 	è	che	è	entrato	da	qui	</S>
a31	0.9078758	0.07333208	0.0036814215	0.0006979527	0.002649174	0.00817596	0.0035876357
a7	0.41958687	0.32067809	0.14388864	0.0038862377	0.10469288	0.0002737082	0.0069936244
a18	0.09399892	0.020353658	0.82612705	0.028299926	0.008176677	0.019870419	0.0031733804
a31	0.2596629	0.045660857	0.6561242	0.019601371	0.0025658805	0.009981321	0.0064035747
a46	0.09795994	0.08809511	0.7664758	0.036187217	0.009139785	0.0007531472	0.0013889894
a31	0.40922308	0.2133561	0.19195545	0.04859411	0.13635227	0.00036695338	0.00015213009
a39	0.04879481	0.07270658	0.037519567	0.0029546786	0.8276102	0.007861313	0.0025528008
a28	0.051396128	0.09774071	0.04910008	0.0024674085	0.76311666	0.007458052	0.02872098
a31	0.10243688	0.11658976	0.10594591	0.03449238	0.19608007	0.04568795	0.39876705
</S>	0.08205772	0.08432439	0.0821929	0.046384584	0.10250846	0.05311411	0.54941785
