 	l'	anno	che	viene	mia	sorella	sta	per	sta	per	studiare	medicina	</S>
a8	0.3717767	0.001649837	0.02853632	0.021167284	0.031592067	0.036705766	0.043904033	0.0614632	0.0660959	0.25340122	0.0037293255	0.06497964	0.014998697
a31	0.0028355194	0.009526771	0.07759487	0.05760466	0.04255105	0.037462518	0.008877158	0.0085170185	0.011807309	0.69741637	0.04315229	0.002609255	4.519624e-05
a23	0.013531098	0.004995449	0.05687758	0.008209942	0.0025791633	0.008745866	0.013640052	0.057176426	0.12942383	0.67375726	0.02097818	0.009049571	0.001035512
a31	0.0012724423	0.026072383	0.028166324	0.014798254	0.009858627	0.021732833	0.03460378	0.21998091	0.20936586	0.37123746	0.06207951	0.00082003785	1.1521015e-05
a39	0.0004932422	0.004849609	0.0061781704	0.0064194393	0.013521359	0.025244523	0.008755902	0.06449395	0.054557823	0.14059025	0.6722244	0.0025311215	0.00014019271
a8	0.026396599	0.009728804	0.013280254	0.013122543	0.015721025	0.01603939	0.003044994	0.020399947	0.020650387	0.06246546	0.77575296	0.023283321	0.00011431498
a31	0.22445935	0.029621357	0.033858694	0.030664824	0.024197739	0.017460838	0.0033995174	0.013021644	0.025852326	0.038570877	0.107096426	0.44892684	0.002869615
a13	0.008546608	0.0030368657	0.0036279233	0.0020982185	0.003179935	0.0045406665	0.0030799625	0.009832338	0.01640031	0.015695043	0.781881	0.14736398	0.00071713276
a31	0.04455408	0.0042957813	0.005713624	0.005416654	0.009275196	0.010193902	0.005152507	0.010790507	0.033576895	0.050662093	0.34498864	0.44546285	0.0299173
a46	0.028612878	0.0074729687	0.008953774	0.0050501074	0.007651929	0.011437179	0.008793712	0.020079909	0.04369345	0.04913943	0.53547865	0.26433808	0.009297909
a35	0.09746219	0.025766546	0.028360384	0.027451746	0.033604346	0.035646584	0.019896707	0.030736942	0.11535373	0.17237797	0.1506257	0.24604237	0.016674813
a24	0.04590961	0.01543667	0.016825117	0.015070791	0.017898953	0.019119324	0.01589296	0.027171336	0.059960205	0.12647666	0.37743908	0.24227332	0.0205259
a18	0.009802113	0.009117885	0.009378687	0.008401063	0.010665836	0.011415485	0.014420441	0.028781068	0.04314709	0.044803295	0.49106827	0.29199433	0.027004454
a17	0.0367879	0.02363218	0.024396412	0.022135865	0.026593925	0.028760225	0.030492926	0.054693975	0.088787414	0.11824319	0.45577273	0.083463214	0.006240038
a43	0.04213484	0.06457102	0.06678835	0.06792392	0.075650655	0.07210704	0.06423608	0.08691193	0.12795497	0.11747689	0.14760767	0.05650521	0.010131374
a31	0.025555836	0.09107402	0.09031261	0.08763381	0.09296796	0.09411855	0.09484337	0.1265753	0.15709965	0.04107397	0.08315265	0.0128635615	0.0027287046
a20	0.011147984	0.079573326	0.07262555	0.07177678	0.077323176	0.08358305	0.09830652	0.14326572	0.12209057	0.011963053	0.096467584	0.093850814	0.03802585
a24	0.0151407495	0.10667121	0.09722165	0.1027593	0.10527446	0.112586245	0.109699756	0.11478718	0.09491668	0.01812462	0.05172123	0.047310825	0.023786128
a49	0.021355717	0.10099258	0.081160724	0.09849032	0.10204554	0.11339356	0.09589023	0.07991972	0.046163883	0.0073172855	0.04408861	0.099449	0.109732784
a39	0.037013073	0.06272598	0.049236644	0.059404436	0.061161514	0.0756525	0.058637276	0.048054088	0.036254678	0.013069974	0.08022742	0.15056606	0.2679963
a19	0.03366313	0.11516467	0.082674466	0.097960636	0.09779105	0.13955626	0.108468086	0.07869045	0.05027253	0.02757755	0.04368228	0.051568333	0.07293054
a18	0.037626572	0.032204926	0.028096328	0.049239073	0.055549156	0.050252367	0.025281651	0.01268068	0.011198645	0.024611695	0.070821725	0.4974929	0.10494429
a31	0.016154747	0.07618195	0.060788203	0.0702547	0.0752947	0.09063796	0.08333089	0.09212054	0.06190872	0.011024776	0.07415368	0.08504241	0.20310676
a17	0.034619313	0.08128632	0.060670026	0.072166294	0.07342403	0.10051256	0.077194124	0.059601787	0.04495991	0.030253207	0.060487438	0.075961195	0.22886378
a20	0.03700667	0.084731326	0.06313529	0.080347545	0.08394463	0.108872816	0.078242	0.05622893	0.040597104	0.035564065	0.044496384	0.06596943	0.2208638
a31	0.03431967	0.089641646	0.06592583	0.078307174	0.0790249	0.11056154	0.08446468	0.0629399	0.044900384	0.033379357	0.046928443	0.054479796	0.2151267
a37	0.04647922	0.08085383	0.065503374	0.07206581	0.07193436	0.09421005	0.077934325	0.065569334	0.054749094	0.03962074	0.06531613	0.06777105	0.19799267
a31	0.05454719	0.05628924	0.05434581	0.05770359	0.058975786	0.059696205	0.05538094	0.052870393	0.05189124	0.058006976	0.063988775	0.07419579	0.30210805
a20	0.057274032	0.06542827	0.061694738	0.063310325	0.06331792	0.06888411	0.06492963	0.0628985	0.06004505	0.056812804	0.068110466	0.06577361	0.24152054
a31	0.054251526	0.054931328	0.05425551	0.05536896	0.055808146	0.056164205	0.054782026	0.05444297	0.054119036	0.061067116	0.060198136	0.0618899	0.3227211
a24	0.062008917	0.06359316	0.0628652	0.06325511	0.063426785	0.06476622	0.06426193	0.06716612	0.06524714	0.064098276	0.07453487	0.06503449	0.21974178
a20	0.056545414	0.055416618	0.055423036	0.05649937	0.057082023	0.05620878	0.05537874	0.055670053	0.055622015	0.060818005	0.062690996	0.06485275	0.3077922
a24	0.058383334	0.061916858	0.060234215	0.06123302	0.06142052	0.063847244	0.0619298	0.062087193	0.06038055	0.06334865	0.06686119	0.06309214	0.2552653
a8	0.05355515	0.051807187	0.051728353	0.053679768	0.054703083	0.053243853	0.05162273	0.05177524	0.051455643	0.05653255	0.06045716	0.06461341	0.34482592
a31	0.047588352	0.05457285	0.05098221	0.053986263	0.054788034	0.05921299	0.054029662	0.052484684	0.049107224	0.05681284	0.05349038	0.05258292	0.3603616
a29	0.06375376	0.06586125	0.06495375	0.06547909	0.06577763	0.06758656	0.06703587	0.072155766	0.0689664	0.06811025	0.08144097	0.06531523	0.18356344
a31	0.05538691	0.0541493	0.05414208	0.055446386	0.056179848	0.055214494	0.054222304	0.055107377	0.054627247	0.059654873	0.06063853	0.061541576	0.3236891
a28	0.06525135	0.06602582	0.06568125	0.06594464	0.066200644	0.06708651	0.06707621	0.07159625	0.069387615	0.06993505	0.07990576	0.067112535	0.1787964
a24	0.06696139	0.06673938	0.06674198	0.06697245	0.06717982	0.06718693	0.06721068	0.069308475	0.068468675	0.06903387	0.0742447	0.069504604	0.18044707
a46	0.06067685	0.060014248	0.059959702	0.060732175	0.061169464	0.060732264	0.060182437	0.061084	0.060993217	0.06851481	0.0709092	0.070629485	0.24440214
a31	0.05659741	0.059878368	0.058289334	0.059355307	0.059597984	0.061792277	0.05984353	0.059655435	0.058452882	0.06820725	0.06501466	0.062969975	0.27034566
a33	0.06392325	0.064314164	0.06411615	0.064366326	0.064622596	0.065183006	0.065218344	0.069077276	0.06737287	0.06979179	0.076643296	0.066127285	0.19924366
