 	il	morto	si	piange	</S>
a20	0.85574096	0.13645944	0.006543634	2.0977992e-05	0.0012348649
a31	0.23878536	0.7411995	0.01859248	0.00024273574	0.0011800615
a18	0.6060609	0.389367	0.0031833928	0.0011894925	0.00019922007
a15	0.43928638	0.5211025	0.015131551	0.01644261	0.008036955
a31	0.4396812	0.2614885	0.2272174	0.06195155	0.0096612405
a15	0.5552191	0.24201427	0.18199383	0.007271255	0.013501506
a31	0.3610382	0.024912033	0.03189768	0.017992707	0.5641594
a29	0.5134705	0.17439635	0.11127297	0.0039453674	0.19691487
a31	0.42357394	0.07837686	0.01783125	0.0021611073	0.4780568
a0	0.5704657	0.28948095	0.06228222	0.010339654	0.0674315
a31	0.11989215	0.040189404	0.04117018	0.0068702577	0.79187804
a13	0.34675968	0.25574327	0.15459092	0.12539163	0.11751449
a18	0.24165162	0.20217185	0.20239821	0.09813498	0.25564337
a41	0.26148957	0.2371782	0.21095732	0.17951556	0.11085927
a31	0.23670296	0.22042173	0.20626177	0.1931248	0.14348869
a18	0.21091819	0.20691442	0.20267431	0.19901684	0.18047625
a31	0.20814905	0.195842	0.19657297	0.19563043	0.20380552
a46	0.19426624	0.19295187	0.19209372	0.19103976	0.22964846
a31	0.18770567	0.18171881	0.18225005	0.18348901	0.2648364
a0	0.19229177	0.1913226	0.1911102	0.19075876	0.23451668
a31	0.19767717	0.19214614	0.19271746	0.19314323	0.22431597
</S>	0.19655168	0.19512974	0.19493504	0.19461054	0.21877299
