 	vuole	vuole	mangiato	caldo	</S>
a37	0.29472488	0.13215154	0.38603547	0.17665818	0.010429967
a31	0.056125384	0.8764529	0.06476518	0.0014485925	0.001207924
a41	0.8726815	0.088773504	0.023231918	0.009268575	0.0060444265
a31	0.67228836	0.007527097	0.08016073	0.12908559	0.11093824
a11	0.4827868	0.08265888	0.1389257	0.24699451	0.048634116
a20	0.124220595	0.09653237	0.11780488	0.65805805	0.0033841087
a31	0.093149684	0.36405593	0.21223532	0.30557644	0.024982518
a18	0.07176401	0.13009742	0.57214415	0.17781456	0.048179906
a31	0.06953389	0.11339343	0.5234512	0.22531965	0.068301775
a20	0.12800951	0.13319714	0.21016073	0.2504954	0.27813724
a21	0.15728837	0.16350164	0.23149616	0.23781826	0.20989555
</S>	0.18835947	0.19676723	0.26835522	0.22725935	0.11925873
