 	questa	canzone	ee	l'	ha	scritta	un	poeta	</S>
a8	0.044337396	0.09054775	0.12088276	0.14357886	0.14607626	0.34802267	0.03388164	0.036136888	0.036535837
a23	0.00028802492	0.00049446203	0.5830414	0.13017914	0.0474864	0.0019725333	0.23624046	0.0002963683	1.1606721e-06
a31	0.0013583081	0.0021238248	0.5193201	0.10507586	0.25636938	0.011940193	0.085833065	0.017660502	0.00031877414
a28	0.001124568	0.0006648371	0.4223079	0.0654531	0.119922765	0.005111093	0.3790332	0.005589548	0.00079304934
a20	0.0018778588	0.0012750286	0.23160218	0.116707996	0.104127996	0.0031207101	0.54055315	0.0005208922	0.0002141928
a31	0.011073376	0.01952014	0.23067677	0.35644162	0.06820268	0.020471618	0.293169	0.00042490425	1.9871719e-05
a8	0.035892952	0.026137447	0.04989133	0.14114405	0.058389347	0.03513477	0.65273374	0.00047446732	0.00020189962
a31	0.22658186	0.07210817	0.21837607	0.14188567	0.026415562	0.15901825	0.14259546	0.012977843	4.1048865e-05
a20	0.04183577	0.025375703	0.025745071	0.12769158	0.12298878	0.032538656	0.61889255	0.0037860258	0.0011458901
a31	0.07050882	0.018697638	0.11675052	0.17713782	0.11488053	0.063623	0.4257404	0.011987373	0.00067384815
a36	0.028975353	0.013148837	0.03555377	0.11182252	0.10360486	0.030536866	0.66713846	0.005685915	0.003533363
a24	0.020895967	0.0056875604	0.14769162	0.061095204	0.06463818	0.0131276455	0.682939	0.0024937452	0.001431079
a37	0.009931063	0.003350878	0.0298774	0.0553529	0.036883287	0.010719184	0.8309907	0.0016383576	0.021256303
a27	0.01039404	0.0036130021	0.06441441	0.07268493	0.0456503	0.010586134	0.78537506	0.0016017806	0.005680319
a8	0.03857373	0.013922161	0.25096077	0.1543469	0.096478045	0.008848853	0.43183878	0.003945935	0.0010848533
a23	0.02443351	0.01562596	0.3142647	0.28938282	0.1402337	0.008894475	0.20169663	0.0051208106	0.00034741123
a31	0.014415595	0.010758877	0.29148307	0.32917115	0.1513338	0.008243187	0.19072849	0.003388734	0.0004770512
a37	0.010409789	0.007899749	0.081005946	0.38062534	0.28412884	0.023516456	0.10283735	0.002966686	0.10660984
a29	0.034562357	0.025808914	0.23263033	0.2618536	0.09978743	0.056454767	0.14631788	0.013568834	0.12901595
a31	0.047893196	0.039289456	0.29098248	0.15427722	0.075163685	0.06833833	0.11656974	0.028851146	0.17863478
a13	0.02941232	0.02789064	0.2644119	0.15157153	0.064893104	0.08619004	0.11027277	0.043290976	0.22206673
a31	0.116421975	0.07745787	0.19915994	0.09337309	0.07430688	0.087834135	0.13977239	0.07331074	0.13836303
a8	0.035367884	0.034816667	0.14509666	0.07097538	0.045794614	0.070468456	0.073500685	0.074551016	0.44942865
a31	0.116368055	0.10579098	0.21133159	0.12712373	0.1116459	0.088051826	0.11626753	0.03739925	0.08602119
a21	0.052574202	0.052342437	0.09116182	0.06519956	0.056282382	0.07119284	0.0702599	0.07241393	0.46857303
a31	0.06936659	0.06303908	0.06668642	0.06173876	0.061249595	0.06280332	0.07099113	0.06169876	0.48242632
a29	0.057015833	0.056832828	0.072354704	0.062379494	0.05861428	0.06729042	0.06749274	0.06950423	0.48851547
a31	0.059780616	0.057026662	0.057734597	0.056321338	0.056321204	0.05748884	0.06254053	0.058658846	0.53412735
a46	0.060159538	0.05992091	0.06303087	0.061230786	0.06046079	0.06256839	0.06455596	0.061608326	0.5064644
a31	0.06922867	0.06634481	0.0687244	0.06597242	0.06610201	0.06610165	0.0755881	0.06130728	0.46063063
a49	0.059440043	0.059316315	0.059723187	0.05963781	0.059778914	0.060013425	0.06257734	0.058583982	0.52092904
a3	0.053665347	0.05281012	0.052422114	0.052568212	0.052688457	0.05336946	0.05679876	0.05415921	0.57151836
a18	0.12927905	0.10025481	0.12516232	0.098738775	0.092896126	0.09555617	0.12752832	0.06745451	0.16312993
a31	0.054885987	0.054141656	0.05545792	0.054469302	0.054669023	0.05546588	0.06372613	0.055278406	0.5519057
a8	0.057954665	0.05761204	0.05795557	0.05775182	0.057789557	0.058169816	0.0605485	0.05757918	0.5346389
</S>	0.11219918	0.10105758	0.11053962	0.099250846	0.09996174	0.09772249	0.12955913	0.075195126	0.17451428
