 	non	ho	cosa	è	da	mangiare	</S>
a31	0.35385782	0.178287	0.12561786	0.038945675	0.09330608	0.2048094	0.0051760967
a8	0.0062682363	0.19695589	0.7850742	0.011016495	0.00045250572	5.1293275e-05	0.00018138798
a31	0.36037242	0.20651226	0.30741718	0.112008564	0.0026310275	0.0030951658	0.0079633435
a37	0.29238173	0.06748218	0.31183136	0.2025518	0.010994883	0.0108069945	0.10395109
a20	0.01542688	0.05886261	0.416439	0.5005572	0.0074816607	0.0004409026	0.0007917314
a31	0.18310443	0.171709	0.31438833	0.26533097	0.064475976	0.0008347564	0.0001565007
a17	0.086656034	0.07562145	0.30564216	0.14488326	0.32211983	0.062486302	0.00259087
a20	0.1013646	0.06553596	0.22816959	0.097578734	0.36138955	0.11956557	0.026395997
a31	0.04482448	0.034286477	0.0609451	0.12742533	0.45646143	0.2329044	0.043152876
a39	0.079549305	0.07654451	0.086277455	0.11835014	0.2481083	0.21288292	0.17828739
a35	0.104736425	0.09867438	0.1008167	0.11603471	0.21020038	0.19303407	0.1765034
a39	0.12205554	0.112211935	0.11218288	0.12191896	0.2079041	0.19324383	0.13048278
a46	0.13347307	0.12552376	0.12645198	0.13566715	0.2185766	0.19445007	0.06585736
a35	0.14717987	0.1277537	0.12654592	0.1284011	0.22842441	0.20549592	0.036199134
a31	0.19097687	0.1432655	0.12750235	0.10951252	0.1900483	0.20585291	0.03284151
</S>	0.098209046	0.0963851	0.097206324	0.10228081	0.1276587	0.12568846	0.35257155
