 	non	aveva	dove	aveva	per	stare	</S>
a7	0.02796493	0.009842886	0.055540092	0.078069076	0.10707669	0.58140165	0.1401047
a31	0.03983966	0.14587544	0.7686267	0.021787414	0.0033968666	0.020325633	0.00014827722
a29	0.0022118362	0.049016185	0.83321434	0.00586301	0.027134338	0.08161178	0.0009485656
a19	0.0031396425	0.016081797	0.84928435	0.027891185	0.00051141443	0.09877593	0.0043157614
a46	0.011716841	0.038845997	0.69685745	0.10783015	0.006521883	0.13750532	0.0007223977
a31	0.46183178	0.13499552	0.060841244	0.1720612	0.040820867	0.113273166	0.016176187
a38	0.040289517	0.030370025	0.103047214	0.34068948	0.3336677	0.09267276	0.0592633
a31	0.023067845	0.019899053	0.19546224	0.4275626	0.17662913	0.108118884	0.049260233
a20	0.036112685	0.028779408	0.12804663	0.19197942	0.17372668	0.124969386	0.31638578
a31	0.03860062	0.03938008	0.13407396	0.16113845	0.124453545	0.102158725	0.40019462
a0	0.0735933	0.071787365	0.09866426	0.118619695	0.11161903	0.081330344	0.44438595
a31	0.065361634	0.06863466	0.09897582	0.11426405	0.097962305	0.070153	0.48464853
a46	0.08321019	0.08225524	0.09519533	0.1071736	0.1020513	0.077555954	0.4525583
a18	0.06858427	0.06919496	0.09251647	0.09850347	0.089714035	0.07675262	0.50473416
</S>	0.07807326	0.07860485	0.09683067	0.10734045	0.099108495	0.07815676	0.46188548
