 	non	ci	dimentichiamo	mai	</S>
a31	0.8504587	0.075188115	0.011371856	0.0014993859	0.061481915
a20	0.048335608	0.74081033	0.20597468	0.0013319085	0.0035474973
a31	0.5550527	0.43684202	0.0069981925	5.952597e-05	0.0010475252
a11	0.6130726	0.34111184	0.03800328	4.001731e-05	0.0077722124
a20	0.16350949	0.8075143	0.02335805	0.0007562076	0.0048618712
a31	0.71287835	0.14128284	0.01792796	0.0017003488	0.12621053
a11	0.6237304	0.107449986	0.07165511	0.00431407	0.19285044
a31	0.44111526	0.22824062	0.06772585	0.009364271	0.2535539
a18	0.19813761	0.53044784	0.15335885	0.059523143	0.058532503
a42	0.19663866	0.40287086	0.12432119	0.113615125	0.16255417
a31	0.16050933	0.27370498	0.14803448	0.14095463	0.27679658
a18	0.1905027	0.22524746	0.18919182	0.18612555	0.20893249
a31	0.20310973	0.20752847	0.19817308	0.19993307	0.19125572
a39	0.19514614	0.19930497	0.1941363	0.19384451	0.21756805
a31	0.19729826	0.19505905	0.19297636	0.1955395	0.21912684
a20	0.19500473	0.19490428	0.19399129	0.19406348	0.22203621
a39	0.19172682	0.19023234	0.1892152	0.19054109	0.23828451
a31	0.19286023	0.19248743	0.19119012	0.19194897	0.23151323
a14	0.19681136	0.19565669	0.19531874	0.19555284	0.21666038
a46	0.1956131	0.1931945	0.19194043	0.19396597	0.225286
a20	0.19404298	0.19626851	0.19137406	0.19290568	0.22540872
a31	0.19087821	0.19052269	0.18572953	0.18936348	0.24350604
</S>	0.19521211	0.19477335	0.19411652	0.19452171	0.22137637
