 	la	macchina	vuole	riparata	dal	meccanico	</S>
a8	0.15422544	0.33501494	0.00063645054	2.0966865e-05	0.0008399625	0.45322353	0.056038667
a46	0.05804157	0.005009213	0.9228848	0.0005468052	0.008225375	0.0051912493	0.0001009845
a35	0.03275049	0.34122568	0.6021699	0.00073094765	0.01115907	0.011223624	0.0007402776
a3	0.14966407	0.023924274	0.23630786	0.001209713	0.025562875	0.54040664	0.02292461
a31	0.8832564	0.05306779	0.016624566	0.0007240594	0.00065048214	0.018311242	0.027365346
a18	0.94252867	0.029859308	0.012397484	0.00022478634	0.00032947777	0.0077742524	0.0068859314
a31	0.95719534	0.014897406	0.006103566	0.00032793178	0.0028165008	0.011904299	0.006755001
a46	0.64631176	0.06844506	0.011495314	0.0003491768	0.015999222	0.12039829	0.13700116
a31	0.8785432	0.01049641	0.003901524	0.000109787834	0.066469856	0.02585766	0.014621685
a46	0.45164192	0.08049175	0.04280084	0.00042890979	0.07455802	0.21248691	0.13759169
a31	0.3268854	0.052866027	0.06896969	0.0006192599	0.2917592	0.23470762	0.024192853
a17	0.22041635	0.09528097	0.10728453	0.002025977	0.056265697	0.4485284	0.070198014
a20	0.15083556	0.103185125	0.11335166	0.0069056475	0.2414081	0.356416	0.027897928
a31	0.16611853	0.13329847	0.1809757	0.02526226	0.17720033	0.26151803	0.055626713
a7	0.20837224	0.18474464	0.17107318	0.06401222	0.13999094	0.1383656	0.09344111
a39	0.1593304	0.13258994	0.12688698	0.044628367	0.19170514	0.23766655	0.10719261
a31	0.16180226	0.15092039	0.15061387	0.07395968	0.19042669	0.107780084	0.16449706
</S>	0.1485533	0.14303239	0.13941143	0.099391825	0.15492867	0.060080994	0.25460142
