 	sicuramente	stanno	ancora	svegli	</S>
a17	0.83466554	0.14361796	0.005910804	0.0059673297	0.009838402
a24	0.0076281196	0.0035241016	0.98253113	0.005317658	0.0009989969
a28	0.004314022	0.038281295	0.9547862	0.002175538	0.00044300038
a37	0.0041591474	0.039988622	0.9528531	0.0006825881	0.002316545
a18	0.0024172594	0.024974337	0.97251636	5.4548535e-05	3.7422968e-05
a39	0.009161766	0.02515815	0.96498436	0.00037181308	0.00032396958
a31	0.030426133	0.047661357	0.90607655	0.002410442	0.013425506
a39	0.07537775	0.10585832	0.7210892	0.015431157	0.082243584
a31	0.034973245	0.024455635	0.55963236	0.012364238	0.36857447
a46	0.1417836	0.10922354	0.4294692	0.080790184	0.23873347
a31	0.076035336	0.0537414	0.48200384	0.047770813	0.34044865
a18	0.18823576	0.14510979	0.29431623	0.14423427	0.22810404
a31	0.07631759	0.06469479	0.30349776	0.076155216	0.47933462
a39	0.19953632	0.17632842	0.25740105	0.17616098	0.19057325
a31	0.10165784	0.09500769	0.2503674	0.12214014	0.43082693
a41	0.19201055	0.19120774	0.22036998	0.18933538	0.20707631
a39	0.123333015	0.11645581	0.2456089	0.15517092	0.3594314
a28	0.17323518	0.17065184	0.21201573	0.18397625	0.26012102
a20	0.19559644	0.19839318	0.2136081	0.20014514	0.19225717
a31	0.16604333	0.16365588	0.2167233	0.18358396	0.26999354
a39	0.19253294	0.19702391	0.20589826	0.1953711	0.20917374
a35	0.18873775	0.18727757	0.22295885	0.20220944	0.19881642
a31	0.19124456	0.18774614	0.23737313	0.20972182	0.17391428
a11	0.19781	0.2051287	0.20736216	0.19869442	0.19100477
a18	0.19162694	0.18990281	0.21988001	0.20309564	0.19549464
a24	0.19895937	0.19770335	0.22736177	0.20971507	0.16626045
a31	0.16274904	0.15678549	0.24089722	0.19566382	0.24390443
a18	0.18732317	0.19036786	0.19650157	0.18958235	0.23622508
a31	0.115003645	0.11105094	0.16774175	0.13792983	0.4682738
a18	0.19125333	0.19506292	0.197364	0.19217154	0.2241482
a15	0.16753031	0.16706207	0.18409948	0.17430976	0.30699834
a8	0.17842129	0.1852621	0.21307208	0.18582617	0.23741834
a39	0.1782506	0.19649413	0.21632451	0.18166631	0.22726442
a31	0.16677862	0.16909106	0.1979861	0.17731673	0.28882748
</S>	0.19160257	0.19888869	0.2025954	0.19313924	0.21377411
