 	forse	sono	usciti	</S>
a23	0.0006119259	0.4581914	0.54024917	0.00094758184
a31	0.9883775	0.006881934	0.004693613	4.689818e-05
a23	0.93243206	0.047076225	0.019616628	0.0008750654
a31	0.95723104	0.02604954	0.01614391	0.00057543453
a10	0.753319	0.09784527	0.14653243	0.002303297
a37	0.38280326	0.46216255	0.15368424	0.0013498751
a31	0.254948	0.5817616	0.16152048	0.0017699512
a37	0.32369146	0.53239256	0.12979329	0.014122751
a31	0.6735799	0.25139603	0.040033735	0.034990355
a39	0.12945177	0.5563405	0.256925	0.057282723
a31	0.14965546	0.3304379	0.43600872	0.0838979
</S>	0.13671435	0.17380552	0.17826702	0.51121306
