 	voglio	che	Maria	è	di	venire	domani	</S>
a8	0.0031108186	0.005974606	0.0001400277	0.0014462657	0.017934665	0.2234247	0.41013205	0.33783695
a20	2.6689577e-05	0.004594215	0.00027202268	0.05868234	0.6265353	0.29912442	0.010757731	7.299545e-06
a8	8.602221e-05	0.00020436502	0.00074419583	0.06130936	0.11190427	0.8227915	0.0028898483	7.039929e-05
a20	0.00071619166	0.004249125	0.001088523	0.022832017	0.23305432	0.72751415	0.010478956	6.6595625e-05
a31	0.014148042	0.07406751	0.017909221	0.03642247	0.3397028	0.34797376	0.16592942	0.0038467867
a28	0.14144823	0.08581614	0.031379573	0.064910375	0.23740782	0.23496059	0.192968	0.011109214
a31	0.13608086	0.13951406	0.07240174	0.09550855	0.15720402	0.10093516	0.2828722	0.015483374
a18	0.11673678	0.10989071	0.11136216	0.3354439	0.10358026	0.057509888	0.097978026	0.06749832
a31	0.013745003	0.09346595	0.050718114	0.47081363	0.15860994	0.048334543	0.08858749	0.07572537
a3	0.01165051	0.035821766	0.032000758	0.2767578	0.18258424	0.21309139	0.19784196	0.050251573
a31	0.008662259	0.020371046	0.013251878	0.2643899	0.20171285	0.22809976	0.16784978	0.095662475
a18	0.0071874764	0.010757756	0.009595636	0.08613166	0.18285309	0.47499752	0.19911827	0.029358523
a31	0.016825508	0.023141608	0.018864565	0.13492614	0.29942447	0.33891472	0.14650667	0.021396326
a17	0.026542826	0.028079992	0.027139498	0.06411452	0.2104526	0.429961	0.13600147	0.077708095
a20	0.043467823	0.04913391	0.04423937	0.08953678	0.32659295	0.27071905	0.140327	0.035983104
a31	0.057937562	0.06049467	0.058386557	0.08189819	0.2830227	0.22301258	0.10392219	0.1313255
a20	0.07249796	0.07345154	0.07228276	0.08596072	0.2197011	0.16730177	0.09114306	0.21766116
a31	0.07431522	0.076245666	0.074384235	0.0865323	0.25047508	0.16453196	0.09931123	0.1742043
a20	0.07941668	0.07974933	0.079276256	0.08309566	0.13835149	0.1034935	0.077879064	0.35873806
a46	0.077169195	0.07784043	0.07715234	0.08042739	0.13151254	0.10206326	0.081918776	0.37191606
a31	0.08289852	0.0838115	0.082881585	0.08528091	0.11997104	0.0979096	0.083748296	0.3634985
a46	0.09550827	0.09568954	0.09542205	0.09601906	0.10613963	0.09542222	0.08858673	0.32721248
a8	0.08352924	0.08463979	0.0835007	0.084774554	0.10360429	0.09154332	0.08570961	0.38269848
a39	0.09050293	0.09193454	0.09052528	0.09211088	0.111452244	0.09775489	0.091163516	0.3345557
a31	0.09750916	0.10085667	0.09741697	0.09834676	0.107397296	0.09456864	0.09457248	0.30933204
</S>	0.11125273	0.11163405	0.1111866	0.11130527	0.11353299	0.107716225	0.104983725	0.22838837
