 	essendosi	vestito	</S>
a46	0.9687394	0.018368805	0.012891795
a31	0.0070916	0.96359986	0.029308464
a18	0.33460045	0.52051085	0.14488868
a31	0.00076886127	0.761806	0.23742513
a20	0.00026557682	0.6962003	0.30353406
a46	1.8357543e-05	0.7103786	0.28960305
a20	0.00054088706	0.044849113	0.95461005
a31	0.045298323	0.020280436	0.93442124
a0	0.8579804	0.017591389	0.12442826
a46	0.6432846	0.077186204	0.27952915
a35	0.5888726	0.069763586	0.34136388
a46	0.67981064	0.12592523	0.19426407
a24	0.72828305	0.14622071	0.12549627
a46	0.6389728	0.26594874	0.09507845
a24	0.60996234	0.2662298	0.12380785
a31	0.49382555	0.40343577	0.10273863
</S>	0.31712347	0.4783393	0.2045372
