 	era	molto	stanco	</S>
a46	0.0031917517	0.18146059	0.5023246	0.31302303
a8	0.011223976	0.98461205	0.0017602467	0.002403682
a37	0.020627294	0.95076835	0.027155256	0.0014492238
a31	0.13848884	0.29343918	0.121557556	0.44651446
a0	0.2610981	0.4791554	0.02926127	0.23048528
a20	0.20666596	0.7269936	0.025761584	0.040578824
a31	0.35711363	0.56405526	0.010028749	0.068802334
a39	0.121601634	0.71205705	0.012872284	0.153469
a41	0.18305345	0.5702303	0.019135855	0.22758046
a31	0.20919211	0.39388034	0.09443215	0.30249545
a28	0.20362438	0.22113334	0.18577495	0.38946736
a11	0.24915527	0.25318688	0.20981406	0.2878438
a20	0.2275825	0.234463	0.2006566	0.33729792
a31	0.2049733	0.20820628	0.18851426	0.39830622
a11	0.1959947	0.19587964	0.19191808	0.41620758
</S>	0.20014207	0.20364474	0.19271326	0.4035
