 	noi	ti	amiamo	a	te	di	pocchi	giorni	e	non	ti	possiamo	dimenticare	mai	di	questo	che	trocammo	bene	a	te	</S>
a31	0.32696027	0.0017457565	0.0008373264	0.00019784369	0.00014387205	0.00014257529	0.0009576699	0.015216858	0.0016837959	0.013273955	0.001203095	0.0011105415	0.006630266	5.640887e-05	0.00027405564	0.023193017	0.010776366	0.046504628	0.029431673	0.11263189	0.2883482	0.11867991
a11	0.00016680267	6.8670106e-06	0.00057892717	0.0039179646	0.004413467	0.003525548	0.0026379887	0.012966093	0.010250897	0.07762862	0.0002590486	0.0055105546	0.008175125	0.0025638267	0.0033143028	0.04555776	0.035291918	0.74243486	0.015693009	0.012941755	0.011547139	0.0006174781
a23	0.0009470305	2.1651367e-05	0.00013278346	0.0010598901	0.093689434	0.008520028	2.2833185e-05	0.00097154797	0.000104828716	0.0036708766	3.480352e-06	0.01973428	0.00274267	0.0003207471	0.0011243493	0.021661252	0.00016603965	0.8352121	0.007565305	0.0015455278	0.0006654406	0.00011786692
a46	0.0020887195	0.00011365157	0.003262255	0.024485987	0.3959545	0.0768508	0.0003002932	0.0026426485	0.0026823487	0.057558738	4.6034398e-05	0.17191674	0.009017431	0.0020834375	0.0037224037	0.01620892	0.0012549564	0.22052263	0.0043829503	0.0027242727	0.0018547131	0.00032553772
a8	0.0024475637	0.0002159614	0.009846829	0.05273454	0.25183973	0.09425802	0.0014619634	0.0043389457	0.01696718	0.31366318	0.00019279918	0.10338967	0.0072459327	0.00021599466	0.006911999	0.00419	0.00463416	0.09622605	0.008502421	0.012876762	0.006833684	0.0010066592
a31	0.0073218686	0.0016649348	0.041417427	0.10116419	0.16036332	0.0553254	0.007186298	0.04890157	0.042396482	0.2735651	0.0021316968	0.105353445	0.0075684614	0.00023040644	0.00724658	0.004477139	0.007459475	0.062200874	0.035772357	0.017477755	0.01037819	0.0003969501
a20	0.0017983314	0.00065960956	0.007998207	0.043151762	0.08347063	0.057268348	0.013117327	0.02725376	0.08910209	0.43437773	0.005643584	0.05145235	0.0095985895	0.00014360523	0.0064481166	0.0019377937	0.005877654	0.03951755	0.02150182	0.07067304	0.028299483	0.00070864306
a31	0.013788895	0.001520781	0.01154672	0.045925956	0.07085859	0.040383864	0.025951741	0.25624016	0.060708005	0.3313636	0.004444181	0.05814672	0.0056635723	0.00012828746	0.0043752547	0.0025949688	0.006334008	0.030607613	0.021918584	0.00648176	0.0007743707	0.00024238718
a39	0.024827272	0.0056308103	0.007711404	0.026205076	0.049104962	0.03255886	0.025194027	0.18032835	0.06770289	0.29745358	0.029665114	0.051166225	0.012848248	0.00023534273	0.008653194	0.0042843525	0.008258648	0.063337654	0.056498203	0.041556448	0.004072763	0.0027065873
a10	0.043909222	0.0045234016	0.0095917415	0.01427595	0.0098614115	0.00886512	0.024296174	0.13890457	0.025935264	0.15292346	0.026791478	0.017061822	0.008667056	0.00052034744	0.011020428	0.0091605345	0.01614529	0.1472791	0.27859542	0.037438054	0.0034820624	0.0107520465
a31	0.0074955598	0.0014447062	0.0012463973	0.0021449348	0.0033467305	0.0027036886	0.0044660945	0.022620065	0.0053585875	0.043049537	0.0436088	0.0075773397	0.011524911	0.00022292236	0.0070767296	0.010761394	0.0069424976	0.11800316	0.24142615	0.36329874	0.07510042	0.020580625
a8	0.006643013	0.0014380653	0.0011819042	0.0017379578	0.0026485862	0.0022606968	0.0036224225	0.016534155	0.0032104102	0.023188611	0.02610161	0.0069876094	0.011505769	0.0004944854	0.008852835	0.022023803	0.009330755	0.17044266	0.35190412	0.2170944	0.08699608	0.0258001
a31	0.02792201	0.006121228	0.017670734	0.017513394	0.00968535	0.009590689	0.023639938	0.040471487	0.031188007	0.043459233	0.05328432	0.011691895	0.008124823	0.0042586112	0.029310843	0.019887023	0.039587982	0.13276462	0.4502883	0.013786017	0.0044008517	0.0053527877
a20	0.0017801654	0.00046708726	0.000424021	0.0007001103	0.0017446087	0.0012727978	0.0013742677	0.0046884543	0.0012245392	0.008865175	0.006092208	0.004283539	0.007884147	0.000381902	0.0018361817	0.0068625277	0.0016949676	0.026356691	0.066191845	0.19623023	0.62846965	0.031174839
a31	0.00829034	0.0017411025	0.005996579	0.0067367805	0.0069493246	0.006561907	0.0077106967	0.012926423	0.009008979	0.018153934	0.041920174	0.012210204	0.013567669	0.004214473	0.012295377	0.034176875	0.01263134	0.084915765	0.3512001	0.14584269	0.16976781	0.03318158
a20	0.0025256707	0.00045692638	0.001560621	0.002033086	0.0030478556	0.0025707895	0.0025040735	0.0056538335	0.0027075554	0.010051408	0.014373594	0.0076038614	0.009767542	0.0013218098	0.0032198292	0.013046738	0.0029904356	0.028704198	0.073089465	0.09276461	0.6825854	0.037420664
a0	0.012197591	0.0031918185	0.018764596	0.027244462	0.025831666	0.025441166	0.026895793	0.030817438	0.03495947	0.04176316	0.08891173	0.031146454	0.031178415	0.019308735	0.024225798	0.057864722	0.024761196	0.06931557	0.23630206	0.058933094	0.09256546	0.01837969
a20	0.008130082	0.0035162193	0.0132265035	0.040200487	0.027161108	0.027016157	0.037120435	0.027724938	0.09720531	0.08035676	0.20542766	0.02430704	0.018536966	0.011811101	0.009914978	0.015680667	0.012326493	0.01699238	0.0502228	0.05737098	0.12881437	0.086936496
a28	0.012365886	0.00305543	0.016428228	0.02309331	0.02374206	0.023309851	0.02343902	0.027836276	0.027220806	0.036606204	0.060652502	0.030040137	0.03193926	0.018698562	0.021427052	0.066643834	0.021495473	0.06311846	0.13918118	0.06565876	0.23623294	0.027814768
a17	0.007106923	0.0042707375	0.008920789	0.031214122	0.038239643	0.035573654	0.038869616	0.027374329	0.07743582	0.066369	0.12930122	0.04191583	0.032525226	0.026623646	0.022204973	0.044829506	0.022827119	0.035714928	0.06744716	0.048794482	0.14234938	0.05009192
a31	0.009629392	0.005252841	0.01641797	0.049263734	0.04990043	0.04884745	0.053222477	0.045363646	0.079588614	0.07300177	0.13739626	0.051186875	0.046814885	0.04002922	0.036222517	0.05580879	0.037559766	0.051264655	0.06911203	0.024923265	0.009725529	0.009467887
a33	0.007987654	0.006303575	0.009561857	0.034925506	0.06284441	0.056661785	0.045701988	0.0320779	0.06812435	0.06362434	0.054505568	0.0732722	0.056405418	0.054701723	0.033213094	0.07609511	0.02932336	0.043404527	0.042516124	0.03680587	0.07028179	0.041661818
a8	0.008539373	0.006093736	0.0138961505	0.049111873	0.06114455	0.058684424	0.059647143	0.046343572	0.07521431	0.06558654	0.07241456	0.062377647	0.053746402	0.058520358	0.0589378	0.05726526	0.058116518	0.052101105	0.04949738	0.022334067	0.0008207529	0.009606427
a20	0.008706135	0.006159775	0.014993113	0.050150294	0.06439843	0.06199347	0.056590058	0.048061438	0.0644123	0.06331897	0.05399893	0.06950232	0.062353473	0.061440945	0.050701216	0.0791046	0.047645565	0.05444372	0.041190244	0.018031582	0.002440043	0.020363398
a23	0.007876866	0.006570371	0.010535579	0.04012514	0.07002366	0.06362101	0.044872988	0.03545927	0.066031754	0.06988581	0.056908067	0.08910411	0.06978798	0.054466702	0.026398536	0.09255671	0.02241052	0.043856323	0.033645913	0.011770023	0.018220283	0.06587234
a31	0.009438533	0.008381674	0.011905344	0.042812668	0.083904766	0.075070225	0.05845973	0.03748195	0.0800718	0.06787613	0.038487095	0.09128902	0.06696985	0.082497574	0.045443006	0.06556744	0.03937041	0.03654601	0.019679522	0.011860637	0.0029580074	0.023928585
a28	0.0077348338	0.006817968	0.008744003	0.02906403	0.07090363	0.05963141	0.03362633	0.02495579	0.0616532	0.06721881	0.048367083	0.10402063	0.06855246	0.04866016	0.016835695	0.079247974	0.013357211	0.03270879	0.025388122	0.010833001	0.03887183	0.14280707
a31	0.024469165	0.023193805	0.024480602	0.029237147	0.081875615	0.051209774	0.030998241	0.024731904	0.062562875	0.042325243	0.03867818	0.14703749	0.038700264	0.100375645	0.016244099	0.028101673	0.014443031	0.020642115	0.022798596	0.013375351	0.041151136	0.12336799
a38	0.02192141	0.021225523	0.0219893	0.028220229	0.09015764	0.055716034	0.034274522	0.025631143	0.06462192	0.04250179	0.030547056	0.1558822	0.042008836	0.11886399	0.023451695	0.035879504	0.020729667	0.024435928	0.025161104	0.01689739	0.033030987	0.06685217
a31	0.020982055	0.019816665	0.021762725	0.027530473	0.08239997	0.051067546	0.03547519	0.02532626	0.06802597	0.04143246	0.03806726	0.13901637	0.03687835	0.11397321	0.028348818	0.031086767	0.026331566	0.023290392	0.023895143	0.053314127	0.008035041	0.08394366
a20	0.020392027	0.019968055	0.020565707	0.027507791	0.09310778	0.057638418	0.03524771	0.02545894	0.06524164	0.04242728	0.027193189	0.15661891	0.043296807	0.12429099	0.026466813	0.039153595	0.02324402	0.02530203	0.02512941	0.018136296	0.029211413	0.054401185
a24	0.0323639	0.03129831	0.03280247	0.034107193	0.052379638	0.0403735	0.035725754	0.032675717	0.04722456	0.03866488	0.044059236	0.09444734	0.03553733	0.07179863	0.030609993	0.032493435	0.0301593	0.030677699	0.03330378	0.05348561	0.024404937	0.14140676
