 	che	vende	buon	pane	</S>
a17	0.036217093	0.787127	0.035182413	0.11139385	0.030079497
a31	0.4220606	0.13733509	0.05952769	0.26412836	0.11694819
a11	0.001997253	0.97224516	0.0053593125	0.019517917	0.00088041415
a39	0.0028223502	0.9102669	0.01774996	0.057167042	0.011993598
a35	0.1718971	0.36250854	0.08117328	0.31395197	0.07046906
a39	0.78489304	0.033403587	0.022217145	0.15183717	0.007648961
a31	0.6719164	0.07246322	0.013585381	0.1958327	0.046202242
a24	0.24671815	0.3486872	0.03257557	0.25901657	0.1130025
a18	0.22743762	0.36380276	0.044619873	0.27358773	0.09055207
a31	0.18557328	0.52412766	0.061418228	0.20099044	0.027890338
a13	0.09311618	0.52129966	0.15124777	0.14764296	0.08669341
a31	0.2103066	0.28758264	0.1309183	0.15295999	0.2182325
a46	0.14077653	0.20298892	0.14874779	0.1379316	0.36955512
a8	0.17272337	0.1661079	0.15596837	0.15935473	0.34584564
</S>	0.18875185	0.18070464	0.17367768	0.16378745	0.29307833
