 	che	consuma	poco	benzina	</S>
a31	0.090440735	0.907458	0.0016864999	5.7012785e-05	0.00035779228
a41	0.088309295	0.8021275	0.0010886613	0.031231768	0.07724283
a31	0.39512545	0.312159	0.0010441742	0.06064325	0.2310282
a28	0.35490048	0.12597486	0.00083550037	0.0659026	0.45238653
a24	0.3453291	0.53227633	0.0030183382	0.03418929	0.08518693
a31	0.5315853	0.43826592	0.0076489383	0.012809506	0.00969035
a11	0.8079387	0.13181692	0.0009226135	0.044456977	0.014864787
a31	0.7390315	0.08462634	0.0030144155	0.10720486	0.06612289
a46	0.5021837	0.34427541	0.010086252	0.023607722	0.11984694
a31	0.30944487	0.28028604	0.02273084	0.040048175	0.34749
</S>	0.28399047	0.27825212	0.13099194	0.059733156	0.24703233
