 	non	aveva	cosa	a	fare	</S>
a31	0.033935126	0.017210776	0.08011444	0.4649864	0.40263677	0.0011164516
a18	0.07884423	0.34354186	0.35973722	0.18781649	0.020904813	0.009155352
a24	0.35082293	0.09318219	0.39411774	0.056492325	0.09525847	0.010126415
a20	0.16489182	0.10918143	0.47568774	0.18348898	0.03716057	0.029589415
a31	0.20611063	0.27033558	0.5050342	0.017110711	0.00096994074	0.00043886038
a18	0.40929943	0.107683346	0.30994374	0.17200845	0.0010326399	3.2434367e-05
a31	0.44205454	0.08394429	0.17893045	0.24507673	0.04985966	0.0001343602
a17	0.09700836	0.07894944	0.079900846	0.2665109	0.45833957	0.01929079
a20	0.09743461	0.11913103	0.08661137	0.16023466	0.49369374	0.0428946
a31	0.10745102	0.11641305	0.107279785	0.1377749	0.3072492	0.22383206
</S>	0.08582686	0.085296616	0.08146772	0.09236489	0.12459001	0.5304539
