 	non	li	aspettiamo	più	</S>
a3	0.91088444	0.082208246	0.00012854817	0.005043175	0.00173569
a31	0.5221634	0.2931593	0.0010977602	0.084775195	0.098804355
a35	0.7406432	0.22049113	0.0003549717	0.033262238	0.005248534
a31	0.23467344	0.057019513	0.0001590395	0.36624777	0.34190026
a13	0.2596021	0.12362358	3.3369037e-05	0.29625157	0.32048947
a31	0.52347153	0.044700034	0.00062544714	0.37242588	0.058777098
a15	0.80810803	0.015457232	0.0011982895	0.099728175	0.075508215
a31	0.30778202	0.032006048	0.0027394488	0.37684998	0.2806225
a46	0.26645482	0.14133549	0.08155282	0.13134849	0.37930837
</S>	0.17146944	0.15510717	0.08798286	0.1470385	0.438402
