 	allora	io	ora	sto	studiando	di	maestra	ma	ho	una	sorella	mia	sorella	studia	quest'	anno	che	viene	per	medico	</S>
a31	0.101222545	0.016476179	0.42695445	0.0045043323	0.09838352	0.06778048	0.05386928	0.005741734	0.018624015	0.0051614754	0.0044667954	0.010022919	0.008907953	0.0013245429	0.0002038441	0.015799649	0.013739147	0.08438451	0.015369494	0.02864939	0.018413648
a17	0.01984728	0.00052968797	0.015354967	0.0018073791	0.055114616	0.09945417	0.05551241	0.058757257	0.13977243	0.0230416	0.01411533	0.11431193	0.0821344	0.0027780626	4.7019137e-05	0.088605985	0.076499626	0.028420415	0.123649366	0.0001756883	7.0366725e-05
a31	0.0036347525	0.0044851196	0.00616969	0.005632144	0.027796032	0.5022866	0.005929964	0.017845415	0.36555722	0.013627872	0.0039030695	0.0015069703	0.00070591556	0.000884494	9.715605e-05	0.0010304403	0.001116975	0.0002560948	0.03746684	6.499209e-05	2.2282848e-06
a17	0.002265749	0.0010141109	0.0019445812	0.0016669105	0.028679319	0.29806608	0.012782243	0.026203848	0.52406746	0.016973697	0.0066544637	0.0048216777	0.0019266332	0.0015258535	7.333399e-05	0.002045991	0.003165404	0.0006045804	0.06538469	0.00011775537	1.567419e-05
a31	0.009070023	0.010149471	0.012693968	0.013165034	0.07168711	0.08827627	0.014205842	0.031146929	0.2252691	0.038770337	0.046668984	0.020107178	0.012326206	0.012678465	0.0006832933	0.011981449	0.0069128685	0.0028749197	0.37118056	0.00014784557	4.2503875e-06
a34	0.0033896046	0.0007822962	0.0011068058	0.0009619004	0.0146346595	0.012646276	0.004159733	0.005786834	0.034561407	0.0067356736	0.013233707	0.013107294	0.009633109	0.0060766237	9.25455e-05	0.008127936	0.0044192025	0.011560442	0.8487661	0.00020431094	1.3557376e-05
a1	0.010188768	0.019250238	0.020974236	0.024518654	0.03966404	0.028631877	0.039548974	0.046814736	0.0834777	0.04645791	0.086067006	0.11648537	0.114839435	0.059582405	0.0018665673	0.070616886	0.04440235	0.008047672	0.13051187	0.008025161	2.8099328e-05
a35	0.041121695	0.006299322	0.009723875	0.007134814	0.021786561	0.03442589	0.011547323	0.021566013	0.09122003	0.035380024	0.06260467	0.046331115	0.039337043	0.028543161	0.00062844076	0.017631765	0.008464964	0.067072056	0.43197194	0.016802901	0.0004064389
a31	0.0035676274	0.0027869062	0.0030736236	0.003398812	0.0056839706	0.0045738327	0.013411529	0.013127513	0.02624632	0.011117379	0.046421625	0.11106335	0.1372517	0.048010513	0.00084141345	0.0757439	0.060474865	0.054965984	0.35854065	0.018092215	0.0016062747
a20	0.028124101	0.0070124427	0.009016985	0.007390469	0.012735004	0.024473213	0.01072084	0.012390677	0.057059005	0.021645831	0.060046166	0.076772206	0.0745556	0.050704703	0.0027224377	0.028924411	0.069719166	0.10788506	0.29280007	0.01713751	0.028164135
a17	0.008903366	0.004112792	0.0048344443	0.0044942214	0.0060403203	0.0072991108	0.008287089	0.008733224	0.024783343	0.009643205	0.03845141	0.08760354	0.118492536	0.040988605	0.00128308	0.056755345	0.100428276	0.11462462	0.3281222	0.020191967	0.0059272433
