 	non	ti	dimentichiamo	mai	</S>
a8	0.96218526	0.034103565	0.00032545583	5.0757295e-05	0.003334976
a31	0.9836051	0.007819847	0.0029027918	0.004639471	0.0010328613
a20	0.99825686	0.001069833	0.0004923794	0.00014668317	3.4150013e-05
a31	0.96277	0.008408997	0.025690507	0.0009963912	0.0021340926
a13	0.75120515	0.07975007	0.15315014	0.0058179204	0.010076787
a31	0.94712687	0.019675175	0.0036405271	0.015567342	0.01399006
a13	0.6863746	0.16298147	0.030743085	0.0054263566	0.1144745
a1	0.6605716	0.011459281	0.0013012593	0.00048165495	0.3261861
a31	0.72827506	0.059814587	0.029610403	0.0017636144	0.18053637
a41	0.58505917	0.15818387	0.10590167	0.024991108	0.12586412
a15	0.34113252	0.23120005	0.22002923	0.06399968	0.14363854
a13	0.2845733	0.23613045	0.23269752	0.10018633	0.1464124
a31	0.2861073	0.23587964	0.22337662	0.13546652	0.119169906
a11	0.24488366	0.22732845	0.21766038	0.19457637	0.115551114
a31	0.22987999	0.21636237	0.21406128	0.18517351	0.1545228
a46	0.20316482	0.19953923	0.1970661	0.18693884	0.213291
a31	0.18335897	0.17379595	0.17346328	0.16222961	0.30715215
a46	0.16277163	0.16190295	0.16163868	0.16026953	0.35341725
a31	0.15388435	0.1468197	0.14668213	0.14386745	0.40874633
</S>	0.16887389	0.16798924	0.1679198	0.16752666	0.32769036
