 	e	che	cucino	</S>
a31	0.2558369	0.70778793	0.025809718	0.010565438
a24	0.48043686	0.24166086	0.2710487	0.0068535637
a31	0.89246273	0.073062465	0.023525776	0.01094904
a11	0.9617146	0.014228681	0.0103040775	0.013752678
a46	0.07330092	0.027406689	0.82230437	0.07698799
a41	0.24707077	0.016887167	0.72196597	0.014076102
a20	0.24758202	0.1373994	0.5924835	0.022535084
a36	0.11015377	0.15975583	0.6971371	0.032953225
a31	0.11089767	0.44512567	0.3440811	0.09989558
a46	0.148895	0.15738793	0.19846646	0.49525058
</S>	0.23370935	0.26463625	0.26448604	0.23716834
