 	da	da	un	famoso	poeta	</S>
a31	0.6695322	0.3260137	0.002425442	3.941746e-05	1.5704052e-05	0.0019734912
a37	0.050883662	0.21418951	0.5348846	0.19979735	1.9884762e-06	0.00024296406
a31	0.13378315	0.084453255	0.39645016	0.3842533	0.00015384228	0.00090625486
a28	0.23280905	0.0787366	0.5834437	0.10242444	5.9422808e-05	0.002526728
a31	0.06525235	0.13883077	0.6260179	0.16821237	6.2572835e-05	0.0016240665
a20	0.34245524	0.19362311	0.42283612	0.03906192	3.0544863e-05	0.0019930257
a13	0.5256006	0.14581357	0.28377894	0.022867516	0.00013892904	0.021800524
a39	0.39387986	0.18168564	0.36179796	0.028891679	0.00041039713	0.033334505
a31	0.24718426	0.18068834	0.44626817	0.088073276	0.00046577858	0.037320167
a35	0.16521832	0.16130722	0.38483366	0.1948256	0.0074689006	0.08634626
a31	0.1983643	0.17592974	0.25770745	0.121986255	0.0142532475	0.23175904
a17	0.106605664	0.10605086	0.11490511	0.107350245	0.06869146	0.49639672
a31	0.10833337	0.10712065	0.11059619	0.10387225	0.06851412	0.50156343
</S>	0.09412302	0.09394133	0.0945896	0.09396163	0.08620344	0.53718096
