 	lui	sapeva	che	oggi	fa	freddo	e	non	ha	voluto	venire	</S>
a48	0.022262098	0.023862083	0.0005208792	1.7864026e-05	0.00012927558	0.00037160722	0.03592835	0.103569604	0.15625387	0.0031900648	0.3728403	0.28105402
a31	0.2586643	0.7022219	0.0117652295	0.0018335179	0.00024793897	0.00026121287	0.0005395746	0.008754887	0.015326032	0.00012553317	0.00019400172	6.59331e-05
a0	0.2697948	0.56621516	0.05538908	0.01937612	0.00021281923	0.00069595315	0.008489	0.032762602	0.040624846	0.002936218	0.002639634	0.00086376857
a37	0.18847457	0.56351805	0.112383954	0.082732216	0.00028845225	0.0001991985	0.0025797016	0.016819278	0.024439875	0.0034087428	0.004637798	0.00051816367
a25	0.15801378	0.4513072	0.07855844	0.022338439	0.004795624	0.0032047413	0.0026662294	0.077644385	0.1978725	0.00014558889	0.0033602477	9.2831404e-05
a31	0.2054211	0.1192284	0.2581562	0.21749304	0.070883006	0.002705362	0.119647644	0.002780278	0.000736256	0.002407988	0.000429803	0.00011089809
a3	0.033451516	0.023780813	0.0315645	0.028711451	0.024026144	0.006906726	0.07374877	0.013265217	0.010220673	0.103453755	0.59880024	0.052070208
a20	0.1100836	0.04745668	0.13381194	0.1995474	0.049832787	0.1159196	0.16125467	0.027205786	0.0062692277	0.11782327	0.021791644	0.009003388
a24	0.09630448	0.04883669	0.12007288	0.17177786	0.046758875	0.12775518	0.21153821	0.034063175	0.009337363	0.09815842	0.026440486	0.0089563485
a18	0.05966106	0.025430372	0.08633118	0.12967099	0.031876255	0.06615286	0.13114838	0.024042884	0.006859026	0.29159388	0.09741962	0.04981353
a31	0.05786766	0.037350822	0.077801384	0.103395335	0.039630886	0.09179841	0.22791429	0.044679843	0.011804137	0.21759336	0.05349609	0.03666779
a28	0.086051434	0.047337335	0.08210485	0.101510406	0.03913272	0.06767805	0.14904457	0.04254107	0.021826746	0.20120452	0.052707087	0.10886118
a37	0.053191405	0.02542503	0.055430815	0.07945342	0.028103335	0.1273002	0.142483	0.032362908	0.019233625	0.23506652	0.0956936	0.10625611
a31	0.04653294	0.02473511	0.0507433	0.072214976	0.0284199	0.17420042	0.19139257	0.03851548	0.03542949	0.13689806	0.14124575	0.059671927
a20	0.07556039	0.042901557	0.06302874	0.07636939	0.04045033	0.1003906	0.11791838	0.048476852	0.046093337	0.11118178	0.12045236	0.15717623
a13	0.049580853	0.037278008	0.05382992	0.06622628	0.04145757	0.18884078	0.15839297	0.051829193	0.057070736	0.07804768	0.14544636	0.07199964
a20	0.047280565	0.04173687	0.052315976	0.059831455	0.045722492	0.14384416	0.09795698	0.049462065	0.04659165	0.07202465	0.09602384	0.24720925
a31	0.06270453	0.054968517	0.058737434	0.060828563	0.05420739	0.062693655	0.065524206	0.055811867	0.051758714	0.07020692	0.06794859	0.33460963
a44	0.061689794	0.06041762	0.06146096	0.06203955	0.060547065	0.065400325	0.063854575	0.06042134	0.053812113	0.067365244	0.05808721	0.32490414
a31	0.08891993	0.07908469	0.08724996	0.09245454	0.079529166	0.12400431	0.106647186	0.08009424	0.07332102	0.07192299	0.059930515	0.05684151
a23	0.07614884	0.07577673	0.075885735	0.07592325	0.07569396	0.07538719	0.07596665	0.075403064	0.07135899	0.07883598	0.07004009	0.17357951
</S>	0.069933996	0.06963185	0.07057806	0.07120709	0.07007779	0.07835719	0.075936	0.07095617	0.07108607	0.07122689	0.075800344	0.20520855
