 	l'	anno	che	viene	devo	mangiare	molti	dolci	</S>
a8	0.2210062	0.0017990086	0.116407946	0.073898315	0.00067668175	0.12923841	0.022973787	0.04145803	0.39254165
a31	0.0027123238	0.04706031	0.42973885	0.062384486	0.0023964746	0.3675145	0.021046383	0.067082465	6.421606e-05
a46	0.019524897	0.10555925	0.60633796	0.014550039	0.0011746675	0.054479133	0.057622537	0.13498658	0.00576501
a8	0.05211268	0.48597068	0.23408617	0.013379493	0.0031051736	0.017866164	0.072769545	0.1200752	0.00063496624
a20	0.031566948	0.42257538	0.36152387	0.13447048	0.02748233	0.007436493	0.0058908905	0.008816862	0.00023680176
a31	0.06980372	0.122497156	0.16063821	0.089443535	0.030704752	0.02274451	0.10020726	0.39673394	0.0072268257
a20	0.04083697	0.119827874	0.2451338	0.07658671	0.009770508	0.011176178	0.10069519	0.3928439	0.003128821
a13	0.3902447	0.066897474	0.12644958	0.02612389	0.00345812	0.006963887	0.0936853	0.28527355	0.0009035544
a14	0.48505723	0.029245958	0.04612585	0.011893135	0.0022550458	0.0073829903	0.14472829	0.26797843	0.0053330404
a0	0.25124845	0.01821057	0.031629432	0.012434802	0.004007084	0.014180878	0.2743713	0.37952006	0.014397406
a31	0.19149353	0.0058079073	0.00710238	0.002569558	0.0012888281	0.0148603385	0.32688478	0.42521986	0.024772903
a37	0.04561056	0.0061411303	0.010625743	0.006142536	0.0031280168	0.032905795	0.4240566	0.45034748	0.021042155
a35	0.050875027	0.004552901	0.005172355	0.0034830621	0.0027504351	0.041390464	0.42149153	0.46277446	0.007509622
a17	0.06003596	0.008166895	0.009884794	0.007189781	0.005644758	0.04107166	0.3954427	0.4628366	0.00972682
a31	0.049395073	0.010454734	0.01217283	0.010031497	0.008207111	0.050518848	0.35400927	0.49936214	0.005848494
a15	0.0148536945	0.0074181757	0.0090982495	0.008478855	0.006545047	0.04584321	0.32071364	0.56621116	0.020838024
a31	0.061349615	0.17024076	0.16122097	0.14703935	0.12057985	0.17502093	0.10583869	0.05734942	0.0013603775
a46	0.009026931	0.017714795	0.020754147	0.021226343	0.016622033	0.08869642	0.24723892	0.5133271	0.065393224
a35	0.026804311	0.19489312	0.21036728	0.199057	0.09794173	0.07782448	0.10836718	0.065292984	0.019452035
a20	0.02666215	0.17755531	0.195301	0.18212286	0.079685375	0.064844266	0.12183065	0.08225286	0.069745556
a31	0.01913618	0.14225109	0.15223563	0.14622912	0.08190288	0.091109976	0.15104958	0.11614064	0.09994494
a17	0.02729868	0.14915048	0.19206041	0.16482495	0.04767054	0.05620231	0.14268222	0.09912553	0.12098479
a20	0.04169034	0.17285399	0.2490884	0.19701149	0.05623037	0.046446692	0.065261416	0.05089359	0.12052366
a8	0.033321153	0.17773476	0.24217173	0.20057614	0.05674025	0.04363903	0.064455196	0.047755413	0.1336064
a23	0.034322754	0.20509093	0.26855978	0.22788043	0.066148736	0.041154787	0.03673062	0.03257402	0.08753798
a46	0.025911659	0.22522704	0.24471363	0.23293221	0.11338584	0.05205765	0.043123316	0.032908585	0.029740108
a8	0.02440359	0.20238318	0.22439595	0.21127965	0.09056461	0.05820834	0.09308357	0.054552145	0.04112903
a31	0.023945363	0.2077451	0.21887814	0.21185325	0.12518361	0.0693315	0.07204674	0.04614661	0.024869692
a17	0.023726195	0.14974524	0.18755005	0.16536647	0.04741422	0.071065366	0.17456423	0.122571304	0.057996996
a31	0.055990048	0.15526204	0.24355407	0.1799806	0.06030756	0.053646907	0.070185296	0.05767797	0.123395555
