 	qualcuno	al	telefono	vuole	sapere	dell'	Anna	</S>
a23	0.001136946	0.008778419	0.00022691024	0.000533939	0.09498816	0.4234815	0.15630981	0.31454435
a31	2.1881106e-05	0.055301767	0.032783344	0.012412506	0.10737446	0.6737658	0.11827908	6.1218256e-05
a29	0.010073444	0.031979833	0.014444371	0.0021776636	0.2185747	0.68139017	0.038416546	0.0029433079
a46	0.054851532	0.13789178	0.43061626	0.08715621	0.18180138	0.08900436	0.017855218	0.00082332105
a11	0.020856943	0.1581205	0.1298714	0.08540058	0.33193868	0.13225912	0.14070135	0.00085142144
a20	0.0059639993	0.034346536	0.019075196	0.0339829	0.06824564	0.14190418	0.6913566	0.005124958
a8	0.04733119	0.061968643	0.038025323	0.11068853	0.14797413	0.11698037	0.46682245	0.010209351
a31	0.314205	0.11167978	0.06365299	0.12720221	0.12533246	0.08092903	0.16730343	0.00969514
a38	0.007939806	0.014958383	0.01574338	0.030614642	0.2844405	0.054569542	0.5559777	0.035755962
a31	0.019744528	0.036871597	0.035208102	0.13781218	0.4771627	0.12658586	0.16200498	0.0046100277
a24	0.0056845397	0.023175962	0.02520526	0.039337307	0.40183493	0.08167413	0.35590875	0.06717912
a37	0.011325874	0.010611501	0.0133096585	0.08523692	0.34618914	0.071780294	0.4021168	0.05942984
a15	0.011162902	0.028071797	0.044363897	0.1288129	0.5072691	0.094828404	0.15585586	0.029635126
a31	0.028528873	0.013520688	0.012001812	0.10149277	0.51824766	0.24032813	0.08376053	0.0021194683
a20	0.011185733	0.026484778	0.04396836	0.094906285	0.43948752	0.08139892	0.07448289	0.22808547
a31	0.042819615	0.03931493	0.04312166	0.11355165	0.5671692	0.0943442	0.064728126	0.03495061
a37	0.0565641	0.05984468	0.065734744	0.11284088	0.38810098	0.052579947	0.03050468	0.23382998
a46	0.0927499	0.08439007	0.083223015	0.09859061	0.16634881	0.14450446	0.07015639	0.2600368
a20	0.071312614	0.070653096	0.07266472	0.09511639	0.20135772	0.13575049	0.055563066	0.29758188
a24	0.07611774	0.07498893	0.07548388	0.08426846	0.122757226	0.13638291	0.057318732	0.37268215
a31	0.10956629	0.10185976	0.10004728	0.103898145	0.119387	0.08580727	0.039698627	0.3397357
a17	0.104737185	0.10454564	0.104823336	0.10818145	0.12390408	0.0760947	0.0428596	0.33485398
a20	0.07023937	0.06691234	0.066127494	0.068400174	0.07581675	0.15491444	0.067878	0.4297115
a38	0.07783933	0.07732342	0.07738259	0.08014425	0.0906888	0.1346295	0.06544932	0.39654282
a31	0.06988999	0.06854216	0.06837106	0.07142872	0.08265532	0.16724464	0.0713214	0.4005467
a17	0.114180714	0.11408839	0.114148766	0.115221776	0.120591916	0.07624491	0.05130036	0.2942232
a31	0.083025955	0.08017237	0.079452984	0.0808982	0.08559523	0.12065573	0.06329037	0.4069092
a37	0.12035894	0.120276436	0.120281056	0.12071121	0.12346526	0.07835189	0.05963442	0.25692084
</S>	0.093742326	0.09223214	0.091850914	0.09263465	0.095209	0.11472155	0.074860096	0.34474933
