 	non	aveva	da	stare	</S>
a37	0.045056324	0.015673835	0.105677485	0.78881043	0.04478186
a38	0.06236429	0.17612185	0.048680324	0.7082149	0.0046187113
a24	0.020043453	0.20917907	0.29476455	0.4749122	0.0011006666
a8	0.0037485675	0.03616559	0.021172032	0.9377987	0.0011151795
a17	0.065848246	0.38438275	0.21670808	0.3326378	0.00042312095
a31	0.49412775	0.06012252	0.18776155	0.25384012	0.0041480605
a20	0.1266322	0.022952337	0.027869252	0.72059584	0.10195038
a8	0.062032998	0.017894192	0.047486577	0.81032264	0.062263552
a31	0.061112072	0.050251026	0.07315396	0.45415354	0.36132935
a20	0.08677356	0.07683265	0.073010914	0.12144342	0.64193946
a31	0.08125231	0.07850427	0.08500521	0.12298795	0.63225025
a8	0.100291796	0.09596674	0.1021557	0.07199522	0.6295906
a31	0.08501173	0.085048616	0.09676789	0.120729744	0.61244196
</S>	0.12821224	0.12591107	0.12918685	0.10076048	0.51592934
