 	ora	io	sto	studiando	di	diventare	medico	</S>
a31	0.590118	0.006667834	0.0016326226	0.05743673	0.04817349	0.0041830107	0.04782183	0.24396646
a20	0.00464676	0.0012847165	0.00237205	0.0018500201	0.0790054	0.91072345	6.369501e-05	5.39095e-05
a31	0.010291937	0.0021705993	0.001477649	0.0012716531	0.0044355285	0.98029035	5.858176e-05	3.7821658e-06
a8	0.012720228	0.0018941963	0.001408571	0.00048456818	0.00392925	0.97948647	4.919008e-05	2.7530576e-05
a31	0.26930934	0.32431543	0.14161389	0.010438364	0.07184694	0.18152769	0.0009396996	8.562694e-06
a37	0.3614446	0.02315618	0.016427137	0.0080224015	0.077848606	0.51061743	0.0019669672	0.0005167135
a31	0.2025039	0.039290067	0.011907613	0.011577109	0.14722276	0.56779516	0.018289883	0.0014134623
a39	0.13301799	0.016394917	0.012058157	0.015236274	0.31735173	0.4958886	0.0037232968	0.0063291215
a20	0.059313808	0.02229492	0.011260119	0.006147644	0.46211332	0.43287873	0.0023723484	0.0036191975
a31	0.06945083	0.017285565	0.011879755	0.006777407	0.475679	0.41150594	0.0020573891	0.005364037
a39	0.06504557	0.014216298	0.012734902	0.019629186	0.4729732	0.35251272	0.0024841023	0.060404055
a41	0.051819257	0.0331955	0.028737642	0.015377861	0.50172853	0.36177203	0.0014194879	0.0059496225
a31	0.06744888	0.048823513	0.04454959	0.017228954	0.50218314	0.31467637	0.0026595166	0.002429979
a23	0.07423021	0.05381809	0.0677305	0.04235151	0.2975256	0.30068028	0.0092729535	0.15439084
a31	0.09602123	0.12518723	0.16200916	0.03587261	0.2989565	0.27729434	0.0034510933	0.0012078335
a20	0.058665857	0.0628361	0.109906934	0.045894347	0.15713829	0.20204648	0.02483874	0.3386733
a31	0.07384378	0.09559717	0.33399963	0.05838733	0.21352734	0.13872279	0.030747354	0.055174578
a28	0.047473855	0.053855773	0.19416626	0.041842185	0.13111098	0.07432231	0.076960124	0.3802685
a31	0.06255706	0.06301176	0.09686394	0.06029657	0.10876606	0.05763364	0.10135882	0.4495122
a8	0.070053466	0.07112831	0.11642186	0.06856433	0.107361846	0.07471625	0.09480122	0.39695278
a24	0.1185404	0.1231764	0.17334417	0.11433898	0.14654091	0.12761962	0.07716609	0.11927347
a31	0.08252282	0.08358112	0.097611226	0.08065077	0.09642597	0.07564279	0.09020596	0.39335933
a3	0.0771208	0.077479176	0.09992242	0.07646976	0.09646744	0.07761145	0.093084104	0.40184486
a13	0.07742041	0.07820079	0.07800473	0.07641151	0.087783754	0.07919252	0.0794945	0.4434918
a35	0.0822007	0.08319267	0.085631415	0.080831625	0.09559092	0.08423434	0.0847505	0.40356785
a31	0.090850174	0.093087286	0.10230588	0.08841027	0.10606793	0.094381325	0.09056246	0.3343346
a11	0.08457426	0.084775575	0.08938262	0.084361926	0.08948145	0.08458041	0.08437462	0.39846912
a31	0.07144811	0.07224126	0.070893355	0.07055822	0.077055976	0.0733969	0.07363668	0.49076948
a46	0.087587915	0.08752322	0.088282935	0.0877038	0.091316015	0.088582754	0.0875122	0.38149118
a8	0.07774991	0.078055486	0.077711746	0.07749563	0.082591824	0.07983729	0.07792427	0.44863385
a31	0.09365146	0.093943335	0.0962804	0.09349212	0.09984975	0.09615403	0.086828426	0.33980045
a39	0.10325766	0.10264542	0.102849185	0.10448178	0.11108499	0.10780666	0.102165334	0.26570898
a31	0.08810351	0.08845595	0.08756324	0.0878013	0.09181579	0.08957451	0.08869346	0.37799224
a29	0.10589369	0.10538123	0.10558428	0.10683824	0.1118786	0.10892949	0.10528052	0.25021392
a31	0.08350714	0.08364947	0.08322411	0.08340432	0.086519726	0.08456058	0.08406211	0.41107252
a20	0.10180082	0.10141201	0.101585984	0.102429114	0.10647615	0.10365871	0.10162418	0.28101304
a13	0.08409572	0.08411995	0.083929904	0.08416885	0.08759256	0.08559687	0.08416497	0.40633124
a31	0.06864561	0.06865712	0.0684573	0.06877837	0.07384335	0.070934	0.06908715	0.51159716
a23	0.098297186	0.09784038	0.09792097	0.099151455	0.10438775	0.1014988	0.09804433	0.30285913
</S>	0.079246804	0.079311505	0.07910492	0.07929841	0.08331659	0.08149186	0.079518676	0.43871132
