 	voglio	che	Maria	che	venga	domani	</S>
a8	0.002804069	0.0045739673	9.8026125e-05	0.0024003556	0.34151778	0.43268135	0.21592441
a31	8.232537e-05	0.014631785	0.0018853472	0.7258368	0.24225742	0.015280695	2.572835e-05
a8	0.0014026908	0.008268642	0.022872334	0.10184406	0.8331583	0.032091126	0.00036278897
a31	0.011478822	0.35912758	0.31137848	0.2805741	0.017254688	0.019792411	0.00039389575
a24	0.0505363	0.14440216	0.09880521	0.15606251	0.23505667	0.28868544	0.0264517
a31	0.06528155	0.27838713	0.25723112	0.20616932	0.06713088	0.10903876	0.016761206
a46	0.09456579	0.14060292	0.24231312	0.17495944	0.07290518	0.10679874	0.1678548
a31	0.017017907	0.10907393	0.10349302	0.428185	0.1465297	0.091201365	0.10449908
a29	0.013766617	0.042139415	0.051481843	0.2717793	0.22556266	0.24581844	0.14945173
a20	0.005755699	0.018622877	0.015945287	0.20095773	0.3502164	0.23977248	0.1687295
a0	0.010494156	0.030062685	0.028360317	0.30570722	0.3757309	0.21039341	0.039251335
a31	0.007697479	0.021553032	0.009931765	0.18373351	0.37312824	0.31352377	0.09043221
a23	0.022728685	0.02740274	0.026912317	0.16822442	0.5273458	0.16132051	0.06606549
a31	0.014772465	0.021169279	0.017555423	0.21877097	0.39915398	0.31589663	0.012681297
a18	0.06521801	0.06655328	0.06636323	0.14675315	0.28688523	0.11561144	0.25261566
a37	0.060131982	0.06421989	0.0617258	0.22170857	0.35632515	0.17820309	0.057685558
a31	0.09059936	0.091459036	0.09087675	0.138341	0.1921892	0.110270925	0.2862638
a20	0.09704219	0.09713955	0.0970009	0.117509246	0.14128466	0.09371657	0.35630685
a31	0.079857	0.08036109	0.080032125	0.102556296	0.12895179	0.090767466	0.4374742
</S>	0.09282952	0.09285364	0.092798956	0.09907314	0.10697287	0.08881669	0.42665517
