 	sta	seduta	nel	giardino	</S>
a20	0.44182605	0.00031808345	0.12812147	0.12124305	0.30849135
a17	0.0047453004	0.00010570988	0.5283794	0.46663347	0.00013616383
a20	0.41614953	0.003037036	0.5034783	0.07422786	0.0031072355
a31	0.1039016	0.017872546	0.34060293	0.535354	0.0022689272
a17	0.63836247	0.019302538	0.09077577	0.25015667	0.0014025408
a31	0.6575317	0.01671241	0.07683879	0.24574454	0.003172617
a46	0.22484505	0.019516887	0.17816404	0.57241374	0.005060251
a31	0.26321992	0.037948478	0.49751568	0.19118516	0.010130757
a20	0.11550621	0.011734186	0.31520507	0.5346741	0.022880483
a31	0.08569014	0.013906287	0.54682475	0.3346256	0.018953176
a20	0.068889335	0.01430025	0.31781057	0.54370755	0.055292293
a18	0.046715036	0.026473904	0.37404045	0.52460104	0.028169563
a46	0.060182296	0.044705156	0.21654376	0.60284233	0.075726494
a20	0.098850004	0.07815407	0.18802278	0.438349	0.19662407
a31	0.14166963	0.13015297	0.1513906	0.30413076	0.27265608
a18	0.2410801	0.2299382	0.11356673	0.14477696	0.27063805
a31	0.15441647	0.152154	0.14321245	0.080006406	0.4702106
a0	0.20234269	0.2000945	0.14901851	0.06731795	0.38122633
a31	0.12128313	0.11791209	0.11283958	0.054437935	0.59352726
a8	0.15133339	0.15080346	0.14318085	0.08670247	0.4679798
a31	0.09297912	0.09260367	0.10237435	0.118439764	0.59360313
a18	0.1691806	0.16894658	0.16481231	0.12076526	0.3762953
a31	0.12532039	0.1248499	0.12838878	0.11511408	0.50632685
a17	0.18525024	0.18490271	0.17840011	0.12447733	0.3269696
</S>	0.13920794	0.1388204	0.1416617	0.13187999	0.44843
