 	mio	padre	ha	lavorato	sempre	</S>
a23	0.3800268	0.17865272	0.11525878	0.014043812	0.22248654	0.08953136
a31	0.016214164	0.55638427	0.4102657	0.000152765	0.016737953	0.00024520975
a37	0.9176964	0.07445689	0.0070468322	6.780706e-05	0.00043430092	0.00029766245
a31	0.85538864	0.080848895	0.037466954	0.005454145	0.019718971	0.001122382
a37	0.38684124	0.33669332	0.14540166	0.017026303	0.11368175	0.0003557556
a3	0.6871623	0.16162482	0.08166387	0.024221726	0.045156393	0.00017099104
a31	0.3810034	0.29252705	0.27688166	0.01296254	0.03378061	0.0028447378
a3	0.0980211	0.15762421	0.6855081	0.010907082	0.039416805	0.0085226735
a44	0.02433962	0.0695088	0.74972886	0.006683672	0.13255206	0.017187005
a31	0.017779566	0.03369337	0.29383123	0.061917346	0.5288574	0.06392112
a8	0.04661584	0.04784023	0.07500736	0.2096529	0.23980983	0.38107383
a31	0.054825082	0.05622051	0.06713409	0.17918275	0.14770566	0.49493185
</S>	0.1018038	0.101645045	0.10625628	0.18896472	0.028225083	0.47310513
