 	le	migliori	canzoni	le	puoi	scrivere	la	notte	</S>
a31	0.74145097	0.0011478687	0.0009804659	0.040245496	0.01702344	0.11280037	0.07833046	0.0054036	0.0026173813
a8	0.0075502577	0.008158794	0.020923901	0.85056525	0.07777389	0.006334318	0.027001148	0.00085719174	0.00083514897
a31	0.07528602	0.82909024	0.041989017	0.03311707	0.005502892	6.917767e-05	0.005862638	0.005422491	0.0036605096
a29	0.0294893	0.0673354	0.055517055	0.027039995	0.2065804	0.00042290747	0.023591159	0.022778245	0.5672455
a11	0.6122214	0.24115802	0.09688166	0.046150576	0.0013138246	1.3983628e-05	0.00082204724	0.0010789209	0.00035953295
a31	0.54357636	0.08352354	0.17633915	0.17334107	0.011989331	8.564412e-05	0.010560149	0.0004381975	0.00014660809
a17	0.18511845	0.018661052	0.040015977	0.17259216	0.45759857	0.019711206	0.10509854	0.0009966843	0.00020736255
a21	0.027927566	0.00772556	0.018338954	0.06643486	0.777984	0.010715812	0.087710455	0.0031029875	5.9836864e-05
a24	0.01703135	0.0058591515	0.013630681	0.04364743	0.7568305	0.019397173	0.13861822	0.0047035445	0.00028206938
a31	0.013954136	0.007925761	0.020211581	0.060252655	0.66018385	0.024596218	0.20184456	0.008512029	0.0025192844
a18	0.05351311	0.041244734	0.060546845	0.13850218	0.3538063	0.0750955	0.24923864	0.0166872	0.011365466
a31	0.007350789	0.016020525	0.0897915	0.1325495	0.38202134	0.1758812	0.18766464	0.00746845	0.0012519924
a8	0.038981363	0.06694513	0.18376632	0.2907303	0.08006991	0.027606972	0.07228965	0.04414442	0.19546595
a31	0.01923277	0.02977967	0.14379624	0.16115509	0.10864439	0.43643034	0.08851604	0.00698097	0.0054645017
a11	0.036099214	0.049288426	0.19782013	0.27248058	0.046204228	0.006830004	0.040067483	0.057632465	0.2935775
a31	0.062589936	0.06414167	0.08840994	0.094634145	0.11166517	0.11016047	0.094249375	0.08235055	0.29179877
a8	0.06190752	0.06276128	0.0994169	0.111239016	0.065887116	0.021932293	0.064357616	0.0670044	0.44549385
a24	0.06003237	0.06150258	0.076716825	0.08048639	0.081824265	0.21630514	0.07959107	0.055498026	0.28804335
a31	0.071650855	0.07212174	0.08372988	0.08612862	0.083293945	0.03390392	0.07604891	0.07497616	0.41814598
a37	0.07511744	0.07511504	0.08797792	0.09142502	0.0767238	0.02312783	0.07355516	0.07557965	0.42137814
a31	0.05811883	0.05838177	0.06054168	0.06097937	0.067619905	0.069480814	0.06553928	0.062313512	0.4970249
a28	0.072944365	0.07281547	0.075206354	0.075867854	0.07448696	0.043197837	0.07420263	0.07336722	0.4379113
a31	0.06944128	0.069335416	0.06977722	0.06984111	0.07225296	0.050469466	0.071624845	0.070990235	0.45626748
</S>	0.07303112	0.07286059	0.07337229	0.07354941	0.074543454	0.052953143	0.07466761	0.07379313	0.43122923
