 	ho	messo	uno	specchio	sul	muro	</S>
a8	0.5111356	0.027506853	0.00042591582	0.022396266	0.32802695	0.039844465	0.07066393
a31	0.0018742407	3.0540472e-05	0.3664081	0.59949976	0.01250862	0.019483343	0.00019544346
a17	0.30938083	0.0003823534	0.026229767	0.043828312	0.52574277	0.07116923	0.023266736
a11	0.44432852	0.0005663994	0.4775802	0.035865933	0.011971244	0.017370492	0.012317186
a31	0.34201717	0.00046655326	0.40248764	0.1850954	0.015215269	0.051940653	0.0027772454
a20	0.53325933	0.00040092593	0.21423449	0.16425905	0.026867475	0.05996947	0.0010092425
a31	0.6835823	0.0012762499	0.032901533	0.08802522	0.16276039	0.028120495	0.0033337863
a37	0.12987275	0.0026937334	0.022103218	0.12012584	0.55692714	0.1605492	0.007728179
a24	0.1359874	0.003088757	0.014088028	0.094452746	0.49413088	0.23971708	0.018535087
a28	0.09648371	0.0063465945	0.011052214	0.1058508	0.40609103	0.34546283	0.028712878
a31	0.0474366	0.024461452	0.016708251	0.14894906	0.2945334	0.41400376	0.05390746
a24	0.037313946	0.024913073	0.025580386	0.2225449	0.31379017	0.30669722	0.06916029
a35	0.04042498	0.021357864	0.027829472	0.27647415	0.39400372	0.18061319	0.059296656
a31	0.047004066	0.03396323	0.031533062	0.2102218	0.32983065	0.1621535	0.18529363
a20	0.054028396	0.051125314	0.05007155	0.15934962	0.22610651	0.1348485	0.3244701
</S>	0.05281993	0.04870195	0.049451895	0.16959028	0.24183726	0.13195007	0.30564862
