 	vado	cercando	una	macchina	che	consuma	poca	benzina	</S>
a31	0.026673127	0.010067482	0.0011934733	0.021463806	0.032536816	0.23027214	0.25858793	0.19568306	0.22352216
a8	1.0799992e-05	0.0007307313	0.003274361	0.0037687826	0.05129407	0.109081164	0.8313468	0.00024904739	0.00024405737
a31	0.00056716084	0.025539272	0.086321644	0.003739622	0.028170047	0.0009312456	0.8546931	3.1374257e-05	6.4995547e-06
a10	0.00025808567	0.0010204897	0.0054561784	0.00015927256	0.008728948	0.00090497156	0.9831861	0.000112906266	0.00017313375
a17	0.0014513771	0.007046092	0.015336376	0.0014987303	0.045348875	0.0005299235	0.9287259	3.7894468e-05	2.475779e-05
a20	0.046647828	0.04074305	0.06191819	0.020503832	0.17088634	0.016841615	0.6423608	5.4406544e-05	4.394772e-05
a31	0.062088475	0.015960187	0.018885583	0.011892674	0.06358464	0.42641234	0.40035465	0.0002210844	0.00060031976
a29	0.031991117	0.006868741	0.0065456475	0.0062386943	0.021625638	0.8443767	0.07775523	0.0003763808	0.0042217923
a31	0.0037760558	0.0015445858	0.0023355156	0.0019059387	0.0061839726	0.93584794	0.042142946	0.00061260286	0.005650547
a17	0.00908875	0.0051905154	0.0060464996	0.0061623696	0.011005405	0.9109621	0.025659382	0.0010905111	0.024794552
a31	0.0006509895	0.000676719	0.0018282132	0.0015579847	0.0031199688	0.96594495	0.02226661	0.00085046934	0.0031040849
a17	0.007307134	0.007131659	0.014553391	0.014433583	0.02105933	0.83693975	0.030834794	0.0072870255	0.060453366
a31	0.0006124956	0.0006118423	0.0031314034	0.002551509	0.004410263	0.9638092	0.019590354	0.0019337183	0.0033491505
a17	0.006635534	0.0062352344	0.026117785	0.023572508	0.03305149	0.7881486	0.039074533	0.025552718	0.05161162
a31	0.0009889739	0.00087765505	0.0070048645	0.0045362785	0.009370487	0.93813163	0.031381477	0.005031835	0.0026768884
a17	0.0074613327	0.0065454883	0.04439637	0.03284084	0.052079618	0.717675	0.05493238	0.05124716	0.03282179
a31	0.0017800865	0.0015434431	0.013540706	0.0062891752	0.019162614	0.8846182	0.05901643	0.011207947	0.0028413709
a24	0.009573418	0.008466624	0.06739182	0.03709794	0.08008828	0.63123703	0.082563214	0.05693729	0.02664436
a31	0.0027160526	0.0020916043	0.010204793	0.0032844432	0.028893718	0.8068793	0.10431638	0.030658258	0.010955482
a17	0.013615591	0.012283977	0.0871431	0.03193668	0.12323066	0.5154936	0.12823248	0.05782085	0.030243095
a23	0.0042341184	0.0036847615	0.016739573	0.005612825	0.044516753	0.7156284	0.1545486	0.046309937	0.00872502
a8	0.004995191	0.005081629	0.043371648	0.021303296	0.055923797	0.6901123	0.13296433	0.019262021	0.02698585
a31	0.005834974	0.006832502	0.054945327	0.033882257	0.06484912	0.6402335	0.1275753	0.0138449315	0.05200207
a20	0.011733825	0.012505059	0.099853046	0.056047354	0.115831874	0.50022846	0.106237866	0.04800903	0.049553506
a31	0.00825489	0.0076451483	0.03459993	0.011795528	0.07914139	0.58724314	0.16519038	0.053345937	0.05278363
a46	0.021078771	0.020072822	0.07491741	0.028149823	0.17359126	0.34172273	0.19340447	0.041017234	0.10604545
a31	0.00953553	0.008872355	0.028234396	0.011565863	0.08222362	0.5130452	0.19673069	0.04274433	0.10704801
a8	0.035982076	0.035444103	0.08065571	0.041534618	0.22614777	0.18858775	0.19578588	0.042280715	0.15358134
a31	0.021432746	0.020781262	0.03674297	0.022993032	0.108489	0.29272017	0.15889199	0.055920646	0.28202814
a28	0.057312746	0.05708246	0.08840811	0.0612564	0.23356397	0.14595494	0.17931576	0.05235074	0.12475487
a15	0.08894304	0.08809099	0.09067342	0.088479854	0.10371471	0.116111204	0.09351296	0.08395901	0.24651478
a31	0.054855615	0.054568525	0.07270518	0.057051603	0.16673909	0.16352367	0.15071228	0.081594385	0.19824968
a19	0.06597976	0.06541217	0.08827046	0.06847549	0.20561184	0.17792024	0.14749572	0.06954081	0.11129358
