 	mi	si	gonfiò	il	dito	</S>
a31	0.9254143	0.011210903	0.00073432777	0.019122683	0.0018701844	0.041647594
a11	0.06818628	0.113511406	0.7058835	0.09642866	0.013941416	0.0020487315
a31	0.64433146	0.051819228	0.0613144	0.23498543	0.001158954	0.0063904803
a15	0.8949991	0.040055864	0.03280324	0.026381807	0.001729183	0.0040308097
a31	0.06389315	0.12013806	0.74412155	0.06911994	0.0026736984	5.3608303e-05
a0	0.093332835	0.06437096	0.55442476	0.19242045	0.09294608	0.0025048815
a46	0.049592428	0.004401656	0.10756049	0.47537592	0.34209687	0.020972682
a31	0.0069949	0.0017568949	0.07699225	0.32233498	0.5838904	0.008030636
a18	0.011902918	0.008781921	0.045637786	0.37646598	0.5234654	0.033746004
a31	0.01602164	0.010628862	0.03309488	0.47519964	0.32140186	0.14365304
a24	0.039574426	0.03848351	0.041773323	0.32738116	0.07403125	0.4787563
a28	0.047165465	0.045035183	0.048775908	0.29066184	0.07664195	0.4917197
a13	0.07185859	0.07148229	0.07262959	0.17703837	0.082789995	0.5242011
a20	0.057900753	0.056864332	0.05888737	0.21076785	0.073437534	0.54214215
a17	0.062158708	0.0617583	0.06340426	0.20972301	0.07676391	0.5261918
a39	0.06087565	0.059779108	0.06179713	0.19927412	0.075295635	0.54297835
a20	0.06586932	0.06439864	0.06672427	0.1858187	0.08056288	0.5366262
a31	0.05908291	0.057418898	0.060135562	0.20731439	0.07727995	0.5387683
a41	0.080683775	0.08039165	0.08126685	0.16112298	0.08796739	0.50856733
a8	0.057011027	0.055594612	0.057567317	0.19272415	0.06920767	0.56789523
a37	0.06037754	0.057914443	0.061267402	0.21667777	0.080473065	0.52328974
a8	0.06770178	0.06584115	0.06786076	0.16646628	0.07850397	0.553626
</S>	0.051385194	0.04509361	0.050350938	0.21189497	0.076817654	0.5644577
