 	Marika	tu	hai	mangiato	</S>
a8	0.027079698	0.0072337766	0.5227296	0.38436863	0.05858834
a31	0.022772096	0.1665217	0.80646175	0.004066749	0.0001777575
a24	0.8526843	0.008444478	0.097717814	0.03457896	0.0065743458
a31	0.48803166	0.10165835	0.36625555	0.032847997	0.011206527
a28	0.41889378	0.07850289	0.4790472	0.021791864	0.0017642331
a31	0.60942316	0.09688963	0.19065604	0.10161556	0.0014156688
a3	0.46510327	0.13519634	0.16969505	0.20840412	0.021601204
a18	0.17729105	0.14021198	0.207473	0.3901616	0.0848624
a31	0.0915693	0.28949586	0.4631927	0.13784112	0.017901063
a23	0.04389991	0.23753364	0.43074998	0.24647781	0.04133862
a31	0.02006235	0.39837477	0.43857878	0.12201398	0.020970182
a20	0.092083074	0.14624141	0.1711718	0.14078861	0.4497151
</S>	0.0983109	0.18736307	0.19845949	0.13775478	0.37811172
