 	il	dito	si	gonfiò	</S>
a39	0.26933348	0.65844893	0.000409941	0.014268008	0.057539538
a13	0.11879807	0.86949325	0.00071329274	0.0040742066	0.0069210995
a31	0.9348706	0.060696356	0.001036222	0.0027768477	0.0006200178
a20	0.9740855	0.012951114	0.00022741013	0.006619717	0.006116276
a31	0.65479386	0.2627733	0.00735508	0.07025757	0.004820275
a11	0.7505041	0.12891087	0.00222685	0.11575808	0.0026000969
a31	0.74273604	0.01470632	0.0011817407	0.21255432	0.028821552
a39	0.4838155	0.247791	0.019981757	0.12169588	0.12671581
a31	0.38004863	0.1525937	0.03172876	0.16268393	0.27294505
a41	0.22205214	0.21616781	0.17655972	0.094752505	0.2904678
a46	0.1607164	0.15036938	0.13840345	0.09084999	0.45966083
a31	0.12741807	0.1241338	0.12116546	0.1003381	0.5269445
</S>	0.120072804	0.1197754	0.118919455	0.11072625	0.5305061
