 	avete	cucinato	le	verdure	</S>
a20	0.18965	0.25876585	0.5257882	0.01415391	0.0116420975
a31	0.0024446843	0.11018699	0.88683635	0.00023024576	0.00030175544
a37	0.33427963	0.5277755	0.13654849	0.0007686755	0.00062765897
a10	0.123202674	0.27597907	0.59445864	0.0015907239	0.004768853
a20	0.14956842	0.23760287	0.6103417	0.001078938	0.0014080462
a28	0.6805859	0.10806209	0.20886901	0.0014110426	0.001071922
a20	0.23486556	0.12227467	0.42699486	0.005422023	0.21044284
a33	0.18808939	0.19126798	0.554674	0.0040134094	0.061955195
a8	0.19225968	0.22213645	0.43848154	0.054603133	0.09251915
</S>	0.21325387	0.20521712	0.2703213	0.1531136	0.15809406
