 	lo	posso	finire	di	scrivere	</S>
a20	0.6733171	0.001400215	0.0023444316	0.00057625945	0.31955695	0.0028050984
a31	0.6279105	0.00038270577	9.573641e-05	0.28528634	0.08543934	0.00088538794
a39	0.98132277	3.5196026e-05	4.6699897e-06	0.0033024154	0.013377481	0.0019574433
a24	0.9301334	0.000350249	4.6928963e-05	0.020006055	0.04727266	0.0021906635
a18	0.95515275	0.00096279505	5.3316904e-05	0.015303605	0.027448675	0.0010787967
a24	0.98827577	0.00039982283	1.753206e-05	0.008308872	0.0029767107	2.1240961e-05
a31	0.9299109	0.0049545416	0.0014741613	0.04043132	0.022276629	0.0009524211
a20	0.40245733	0.015662422	0.0060826233	0.19187498	0.35024104	0.033681575
a31	0.123970196	0.019570258	0.008744783	0.35845956	0.42857298	0.06068217
a1	0.055589803	0.029783858	0.02748448	0.076686345	0.39961162	0.41084385
a31	0.035667926	0.029460248	0.02745699	0.061970383	0.43855774	0.40688673
</S>	0.049960088	0.048097342	0.04762539	0.061275415	0.23351254	0.55952924
