 	tutto	il	cibo	vuole	girato	</S>
a31	0.6548039	0.008531717	0.05480998	0.053001013	0.15010382	0.07874949
a8	8.974874e-05	0.0074802497	0.4133073	0.5726652	0.0064473175	1.0072104e-05
a31	0.0136964405	0.014648676	0.57538974	0.23187466	0.16404256	0.0003478342
a29	0.025998425	0.0037417824	0.60494477	0.25342572	0.09626937	0.015619926
a20	0.006175356	0.029427685	0.60738903	0.27627146	0.08059165	0.0001448078
a39	0.05105651	0.029181724	0.3260123	0.13266152	0.46094552	0.00014242955
a31	0.19601424	0.014452969	0.18287349	0.109996974	0.49630848	0.00035384035
a0	0.14174788	0.010257009	0.071865916	0.08182739	0.6924274	0.0018743874
a31	0.013565046	0.0014502074	0.040123522	0.049057618	0.8944862	0.0013174603
a24	0.026236376	0.0047939783	0.029895334	0.033753213	0.9026499	0.0026711812
a36	0.0049744626	0.0010283692	0.05860609	0.045001008	0.88785	0.002540048
a11	0.011959997	0.003842224	0.11408082	0.06993508	0.79916745	0.0010144404
a17	0.011468371	0.003310101	0.036429454	0.033059567	0.9138646	0.0018679239
a31	0.018351885	0.007887276	0.08283024	0.070199236	0.8203214	0.0004099022
a6	0.013648384	0.0060065207	0.0363902	0.045334842	0.86815083	0.030469162
a31	0.040623624	0.050640516	0.3238333	0.20023933	0.3786651	0.005998158
a24	0.015340826	0.0090855835	0.03867066	0.046071913	0.55751115	0.3333199
a6	0.101914786	0.10478904	0.21167499	0.18137935	0.3676486	0.032593302
a31	0.088631384	0.10323767	0.2754311	0.21903224	0.22961229	0.08405527
a46	0.058951892	0.05000332	0.06361837	0.06382879	0.17837177	0.5852259
a39	0.15015572	0.15392521	0.20797135	0.18837416	0.26051623	0.03905734
a31	0.109154925	0.10825202	0.10833704	0.11092323	0.13084139	0.4324914
a41	0.10532078	0.10355536	0.096211955	0.101958625	0.12176346	0.47118986
a8	0.13165088	0.13197485	0.13282847	0.13342248	0.13830173	0.33182156
</S>	0.16994305	0.17031017	0.17098144	0.1731625	0.18589254	0.12971036
