 	quando	Giovanni	venne	a	casa	la	sera	andava	molto	stanco	perché	aveva	lavorato	tutta	la	settimana	</S>
a8	0.019650305	0.020393662	0.007883362	0.012336412	7.633323e-05	0.0010617091	0.01433337	0.057790857	0.082707405	0.109560885	0.14393716	0.071654946	0.04137883	0.028828198	0.053481586	0.3285852	0.0063398057
a39	6.018152e-05	0.017064128	0.04214482	0.04550243	0.0015237982	0.034228828	0.0949495	0.19252864	0.3404046	0.14801379	0.040293086	0.0044970275	0.037876695	0.00048768934	0.00037779182	4.5023564e-05	1.9938134e-06
a31	0.0024351855	0.003270943	0.024399906	0.050514165	0.003965838	0.009007549	0.04570565	0.088903874	0.45911872	0.060937203	0.05171888	0.013863483	0.12999198	0.041750506	0.013270345	0.0005072957	0.0006383932
a20	0.00031205418	0.0017872768	0.0027792284	0.0065617696	0.0018099528	0.0034100583	0.0079987375	0.06727735	0.78989327	0.048351586	0.017878173	0.0055018095	0.038931035	0.0024067166	0.0048696175	0.00010568608	0.00012573415
a24	0.00031794023	0.02116709	0.017265854	0.017726054	0.016805787	0.027361743	0.026106317	0.12734796	0.43209141	0.20172782	0.039171632	0.039891843	0.032188058	0.00014705851	0.0006741867	6.5638806e-06	2.7064134e-06
a8	0.0024590394	0.024155077	0.024945358	0.023534687	0.015145875	0.028796967	0.036251437	0.18902324	0.25045034	0.18485701	0.07942075	0.10763725	0.028065268	0.0002130559	0.004715255	0.00030723735	2.2131184e-05
a24	0.023739312	0.02156554	0.024737928	0.015362843	0.010077411	0.043169897	0.054766756	0.098111115	0.19575234	0.055815384	0.0520742	0.36320594	0.017576128	0.0021125048	0.021182967	0.00073966105	1.01436635e-05
a31	0.0056122043	0.005806026	0.0081847245	0.005486767	0.0027169497	0.01164013	0.019102506	0.09861893	0.09123353	0.10648366	0.11157152	0.47808057	0.016055185	0.00034837268	0.021611622	0.017367909	7.940627e-05
a20	0.012843154	0.0023636427	0.0042811492	0.0034187436	0.0011967625	0.0055723116	0.013036832	0.052667126	0.06926083	0.057833645	0.05224755	0.52868897	0.007150647	0.002081359	0.15901424	0.028168373	0.00017465437
a31	0.028299771	0.003982292	0.0055644065	0.0033864672	0.001969781	0.00964253	0.017301556	0.051295385	0.041260216	0.0429762	0.07129079	0.6462148	0.00800532	0.0069520995	0.04905238	0.012606936	0.00019910776
a8	0.020243285	0.0025894982	0.00464718	0.0042083166	0.0015546082	0.0036536276	0.006894165	0.04509634	0.034864154	0.03697822	0.06488432	0.23336089	0.010726347	0.009051219	0.2031789	0.31225574	0.005813176
a31	0.04834955	0.019566806	0.02287455	0.018423684	0.014615224	0.0342197	0.05194756	0.094338685	0.07311765	0.062977575	0.07186651	0.40006176	0.010847942	0.025621416	0.031449534	0.018059818	0.0016620046
a20	0.0016694451	0.0004893409	0.0009386175	0.0010709054	0.00038566455	0.00087826874	0.0014256818	0.0071761208	0.0057658013	0.0066033476	0.014470037	0.020664066	0.0036810723	0.00047448752	0.0623824	0.86590767	0.0060170395
a31	0.005721222	0.006836585	0.008259612	0.007974658	0.006277472	0.008744981	0.011163335	0.046475086	0.022781206	0.03909644	0.09569284	0.21136986	0.031145463	0.002901745	0.07939071	0.40389338	0.012275272
