 	non	ha	da	mangiare	</S>
a31	0.48818228	0.12707044	0.29030058	0.09057631	0.0038703878
a20	0.36998373	0.4976355	0.11103	0.015094351	0.0062565035
a31	0.7060572	0.07197145	0.16106434	0.053079896	0.007827211
a41	0.5009855	0.07598609	0.16035882	0.1971481	0.0655215
a10	0.08848286	0.36196348	0.5002812	0.046896398	0.0023759592
a31	0.32880285	0.04827836	0.2954811	0.3215566	0.005881125
a15	0.40010837	0.075672075	0.14306024	0.25316507	0.12799418
a31	0.20087285	0.18528293	0.20169435	0.2023575	0.2097924
a39	0.20870654	0.18916571	0.1596928	0.0896454	0.35278952
a37	0.23313314	0.22868805	0.15912205	0.06492384	0.3141329
</S>	0.19286627	0.19133651	0.15526347	0.07614728	0.3843865
