 	è	che	sono	ancora	svegli	che	ha	la	luce	accesa	</S>
a8	0.014573897	0.0016456477	5.381328e-05	4.684294e-06	2.9030016e-06	0.0003725918	0.005865626	0.055520367	0.5745892	0.34448516	0.0028861163
a31	0.0006226299	0.005031089	0.0006963724	0.00018863066	6.1659885e-05	0.010130777	0.65994126	0.3110651	0.011837129	0.00042005003	5.198513e-06
a20	0.019525364	0.0010268671	9.153352e-05	0.00026337066	1.59359e-05	0.0022672575	0.32767776	0.52344185	0.11215003	0.012737699	0.000802424
a46	0.0033792835	0.006476858	0.0037028329	0.008079713	0.0019142588	0.0024333857	0.0115395775	0.25965673	0.66604996	0.036419503	0.00034792974
a10	0.027605444	0.2822209	0.3672377	0.10232763	0.06053482	0.03197922	0.02514261	0.010181125	0.052075382	0.038203333	0.0024918693
a17	0.049458817	0.114154324	0.12529673	0.020493532	0.009563456	0.010531158	0.01822244	0.036547415	0.45393884	0.15705168	0.0047416748
a31	0.104441494	0.10426882	0.12455385	0.027534954	0.008318276	0.010978086	0.0054459	0.011282354	0.2709135	0.32910186	0.003160835
a20	0.0894253	0.05169508	0.062011454	0.015165701	0.0060494426	0.009575977	0.0069553596	0.010134924	0.13473521	0.5618137	0.052437846
a8	0.07949711	0.057050236	0.081798896	0.01624161	0.005151668	0.013617818	0.008379753	0.011170527	0.13465667	0.50121087	0.091224805
a20	0.15837002	0.0806295	0.10024544	0.034955885	0.013447189	0.0112916455	0.0064893207	0.018803872	0.2108375	0.31040496	0.054524697
a31	0.10914598	0.06701429	0.08149736	0.079550266	0.06344045	0.06930291	0.060609136	0.0110396575	0.105630085	0.22659107	0.12617885
a39	0.08775393	0.04594545	0.054786757	0.062013548	0.04814075	0.039392497	0.031260323	0.0062336144	0.050548892	0.3115161	0.26240817
a31	0.04834579	0.04447944	0.054845948	0.21549085	0.114189364	0.12392518	0.048988484	0.007561382	0.027737828	0.12181065	0.19262505
a33	0.032003623	0.02519993	0.0272351	0.10075535	0.048748076	0.0504966	0.025272124	0.00967707	0.059822083	0.352342	0.26844802
a31	0.048078753	0.05148166	0.06319738	0.28502294	0.15305458	0.27259248	0.09475901	0.0057461676	0.007647158	0.010021216	0.008398576
a18	0.033908304	0.027966296	0.028917221	0.09322928	0.04576629	0.045707483	0.02307815	0.007894231	0.03589314	0.26548594	0.39215365
a31	0.089969575	0.090972744	0.0946463	0.10855817	0.09162191	0.08541263	0.035045493	0.021847049	0.06907504	0.08852012	0.22433104
a23	0.061922774	0.059104457	0.05929539	0.077761725	0.061963074	0.054148864	0.022943357	0.026019957	0.11356193	0.11474474	0.34853375
a31	0.09541748	0.097147025	0.10045186	0.11096148	0.098582074	0.10996701	0.08923099	0.054529704	0.054773938	0.06977612	0.11916232
a39	0.06855397	0.06638711	0.066366896	0.07668205	0.067630626	0.06008775	0.028745832	0.028840017	0.11769768	0.08090697	0.33810115
a31	0.088866286	0.092185624	0.09785793	0.089703806	0.0870786	0.08466089	0.06148877	0.03668985	0.07345146	0.07559699	0.21241978
a24	0.08802252	0.08746772	0.087726936	0.08807919	0.086707555	0.080157794	0.05415433	0.03738683	0.09229858	0.055382628	0.24261585
a20	0.06722282	0.07551009	0.08939053	0.06869495	0.06426683	0.06920872	0.058625136	0.03918748	0.08671335	0.14608827	0.2350918
</S>	0.08534963	0.08683228	0.08953585	0.08703943	0.08484577	0.08673979	0.07936262	0.06281234	0.08477552	0.085654005	0.16705275
