 	non	sono	ancora	vestita	</S>
a31	0.65156406	0.09643999	0.24771984	0.00011503778	0.0041609704
a23	0.017828222	0.034800947	0.94721246	9.917786e-05	5.9243725e-05
a31	0.9308943	0.058510065	0.009438077	0.0010213898	0.00013610897
a7	0.9358647	0.047405098	0.015565512	0.00086379866	0.00030090462
a31	0.5558797	0.020761888	0.41783062	0.0045732087	0.00095454935
a13	0.52496916	0.2663161	0.18769401	0.016181761	0.0048389942
a31	0.11688578	0.24773827	0.55989844	0.020119416	0.055358097
a37	0.037934117	0.08929196	0.7916546	0.061798494	0.019320907
a18	0.0363037	0.10142796	0.74471885	0.08580437	0.031745113
a31	0.06741484	0.08314738	0.54891837	0.08140848	0.21911094
a46	0.07964046	0.080612175	0.13395114	0.08039019	0.625406
a8	0.082360394	0.08445028	0.133184	0.0840941	0.61591125
</S>	0.09083714	0.09217159	0.12641431	0.091504805	0.5990721
