 	Marika	è	che	si	sposa	domani	</S>
a27	0.49751952	0.23524839	0.08953003	0.00045207803	0.0144797135	0.15983933	0.002930884
a37	0.03121365	0.170899	0.7833589	0.0019427	0.012532533	3.388214e-05	1.9356143e-05
a31	0.8509259	0.13663812	0.0094251	0.0015471659	0.0008629427	0.0003416577	0.00025902924
a11	0.6488035	0.20235929	0.0996988	0.03648847	0.007977519	0.0027980583	0.00187444
a31	0.3080766	0.43080956	0.1800886	0.05410379	0.023440987	0.0033370259	0.00014348516
a37	0.13087292	0.24123107	0.42282787	0.15504609	0.01599119	0.03395284	7.803665e-05
a31	0.067730136	0.17943463	0.5625294	0.038828798	0.023812126	0.1271234	0.0005414615
a6	0.077416465	0.07694423	0.46923453	0.11327531	0.1958236	0.0583526	0.008953173
a20	0.019852689	0.036570687	0.417866	0.0150294155	0.415664	0.06244754	0.03256979
a31	0.04002187	0.027984127	0.08549314	0.020855853	0.63379323	0.1509583	0.040893443
a20	0.04699917	0.04306067	0.069652654	0.041564796	0.54774386	0.17503805	0.075940885
a31	0.047900748	0.0472527	0.058437947	0.04654321	0.44466007	0.17982252	0.17538284
a0	0.06596492	0.065506294	0.06779842	0.06559187	0.18255094	0.09723199	0.45535558
a20	0.080631636	0.08178707	0.0860088	0.079244144	0.15033856	0.10373215	0.41825768
a31	0.0732183	0.072906986	0.075199425	0.072705984	0.16418658	0.094226316	0.44755638
</S>	0.07669707	0.07659241	0.077169344	0.07661058	0.10854565	0.0823994	0.50198555
