 	l'	ho	sentito	che	veniva	</S>
a41	0.106421396	0.004255297	0.57749534	0.012139355	0.29535377	0.0043349075
a31	0.010472661	0.6641046	0.11610471	0.010754539	0.19800416	0.00055940676
a24	0.00019092351	0.003021294	0.72418046	0.00034555845	0.27147263	0.0007891675
a15	0.0019150545	0.0057734246	0.6160555	0.010214316	0.28089517	0.08514654
a28	0.005593479	0.6371353	0.033299018	0.11940834	0.15186767	0.052696224
a0	0.30874363	0.06421766	0.0155126285	0.09604016	0.5010208	0.014465096
a31	0.24523278	0.049157824	0.12989935	0.092943326	0.44425547	0.03851125
a11	0.103231594	0.03888871	0.084863335	0.11159892	0.612803	0.048614435
a31	0.1212643	0.120424315	0.03675288	0.45255196	0.07847181	0.1905347
a39	0.10328243	0.09802944	0.12514247	0.17271307	0.18332769	0.3175049
a20	0.11958527	0.13381577	0.111097746	0.1851517	0.1133188	0.3370307
</S>	0.1288999	0.14754786	0.11637975	0.19455239	0.11799297	0.29462713
