 	guardando	le	nuvole	sapevi	che	sta	per	piovere	</S>
a31	0.09976109	0.1199489	0.053100705	0.1472626	0.19813098	0.12393489	0.17967248	0.060763497	0.017424896
a46	0.0013899145	0.008935861	0.008866263	0.018352533	0.019283917	0.047693867	0.04369886	0.8218351	0.029943736
a31	0.0059505766	0.016473357	0.0027142481	0.05655536	0.022779858	0.037545346	0.046834648	0.79961514	0.01153148
a27	0.0023682164	0.004564195	0.0013470924	0.0065384815	0.0032297277	0.050476898	0.20789504	0.62675864	0.096821666
a41	0.0018249562	0.43537274	0.26865533	0.011167044	0.009389139	0.016129399	0.0049414425	0.25159696	0.0009229141
a1	0.000508574	0.02446182	0.010170253	0.0033162874	0.008455569	0.053325277	0.022403175	0.8747526	0.0026065323
a21	0.0037116494	0.004598937	0.0015625383	0.012725397	0.016995918	0.019010805	0.008454506	0.9292333	0.0037069023
a31	0.015932133	0.0031690195	0.001045764	0.048368435	0.08938489	0.10016764	0.11019628	0.5344975	0.09723833
a13	0.016108155	0.0054524243	0.003889725	0.18143672	0.11169834	0.16299532	0.2606795	0.19223858	0.065501235
a31	0.039335493	0.00883062	0.0017570304	0.1119731	0.24560998	0.0568069	0.060129967	0.37433302	0.10122384
a41	0.046244323	0.032048617	0.009357364	0.18909276	0.37217566	0.15150882	0.15853588	0.030889424	0.010147089
a35	0.37566307	0.02192651	0.008679959	0.08577752	0.13650069	0.1440487	0.077564806	0.12165288	0.02818589
a31	0.24380738	0.052596364	0.033673186	0.071128875	0.12971298	0.2073713	0.15581876	0.060310174	0.045580953
a14	0.24351682	0.06483521	0.046187818	0.101652846	0.1910603	0.14660026	0.10728095	0.04650408	0.052361716
a28	0.13549288	0.051001813	0.041546404	0.06519313	0.11387395	0.23200476	0.16925012	0.086452216	0.10518474
a31	0.1497414	0.07295258	0.06643836	0.08275326	0.10417498	0.13489607	0.10702917	0.07344739	0.20856684
a0	0.0985022	0.06770537	0.06405527	0.073254995	0.09271978	0.14606778	0.12405128	0.07336169	0.26028162
a31	0.10221688	0.058304064	0.051493317	0.06367904	0.09411291	0.17513937	0.14357094	0.0883447	0.22313873
a46	0.07749487	0.06717847	0.06591698	0.0692465	0.07957328	0.10746674	0.09860297	0.06843422	0.36608598
a17	0.06443825	0.059222806	0.057976425	0.060851768	0.078177094	0.12052762	0.10562546	0.06392885	0.3892517
</S>	0.0674128	0.06564903	0.064425536	0.066136904	0.0811486	0.117175266	0.1033732	0.06896758	0.36571106
