 	dovevo	comprare	il	pane	</S>
a31	0.079871446	0.12937534	0.39437202	0.378088	0.018293291
a46	0.0878921	0.50828826	0.27462223	0.09378155	0.035415795
a31	0.5344487	0.15731774	0.1347384	0.15769675	0.015798505
a18	0.32861474	0.25370902	0.19651072	0.15487981	0.066285744
a13	0.10145839	0.60135305	0.28781885	0.009043823	0.00032591532
a0	0.31057903	0.27395266	0.33256647	0.081743136	0.0011586568
a20	0.2056042	0.39358005	0.19648403	0.17721553	0.027116172
a7	0.17804132	0.39669907	0.32328245	0.09097503	0.011002149
a20	0.10388178	0.22485292	0.27186662	0.28341228	0.11598645
a31	0.14370857	0.25670785	0.21142219	0.2818869	0.10627449
a11	0.17483789	0.20726806	0.19435468	0.18973726	0.23380205
a39	0.18771094	0.19804092	0.20309426	0.18361859	0.22753529
a31	0.18049578	0.18731812	0.18389302	0.16565305	0.28264004
a13	0.14846498	0.1507149	0.14784943	0.13527483	0.41769588
a17	0.15472147	0.15900254	0.16136552	0.16170293	0.36320752
a31	0.18190114	0.188748	0.18528682	0.16969612	0.27436787
a46	0.1478996	0.14890473	0.14757612	0.14090689	0.4147127
a20	0.14391334	0.14709356	0.14994705	0.15511724	0.40392876
a31	0.15987489	0.16387129	0.1631117	0.15704624	0.3560959
</S>	0.15203758	0.15268333	0.15185834	0.14663492	0.39678577
