 	io	dopo	torno	vecchia	vendo	mia	casa	che	ho	Venezia	a	Venezia	e	vengo	da	vivere	qui	a	Kalimara	</S>
a8	0.05853181	0.028942319	0.046703115	0.03128942	0.0002860165	0.02691222	0.00046315254	0.01640868	0.044572417	0.047189306	0.048151817	0.040351376	0.035546597	0.037812535	0.070428535	0.0611658	0.04657515	0.35241294	0.0046124794	0.0016442875
a37	0.00095507223	0.0004975831	0.004641417	0.021232989	0.004942921	0.042643838	0.0036976151	0.06648418	0.083402336	0.14107813	0.15475985	0.16385105	0.1116977	0.11711827	0.065552704	0.016457401	4.896397e-05	0.0007785678	0.00015921453	2.1844605e-07
a31	0.00043685272	0.0013388756	0.011725841	0.004732924	0.003918999	0.2004871	0.001206529	0.2753847	0.083364904	0.10448128	0.03470281	0.023587674	0.0138691235	0.015871115	0.020090617	0.10073167	0.0070716776	0.03971608	0.057110984	0.0001702394
a29	0.00033710292	0.0013197993	0.00090413453	0.0043072924	0.0012697071	0.09145733	0.00032383535	0.033397295	0.14426757	0.2064743	0.15368044	0.13398011	0.08754887	0.069287114	0.032231674	0.015470288	0.00015685738	0.011013375	0.012458846	0.000113993585
a1	0.001297478	0.001302809	0.0010554424	0.0013206613	0.0015818703	0.0061742654	0.0008874604	0.0045919074	0.032290053	0.06923431	0.08348568	0.18161675	0.14969979	0.42040035	0.042928625	0.0004667512	8.281362e-06	0.0012292472	0.00042611916	2.219468e-06
a39	0.002499988	0.0024981613	0.0011374365	0.024071163	0.0021104538	0.008861962	0.0011154801	0.010543884	0.027045486	0.0450534	0.100017324	0.1719415	0.16597915	0.39721456	0.036956806	0.00037377016	3.8682076e-05	0.0023920345	0.0001473157	1.3869768e-06
a3	0.003350182	0.0040636524	0.0014129382	0.021217847	0.002941127	0.0060144686	0.0018128668	0.008126478	0.028708225	0.05526385	0.11139166	0.17474195	0.19549976	0.2788229	0.10472954	0.0012453634	1.4741031e-05	0.0006255142	1.4679585e-05	2.2716342e-06
a20	0.005866532	0.006385499	0.0016194504	0.020667735	0.004037033	0.0068529584	0.002199148	0.009827222	0.027697911	0.05708452	0.095517665	0.15524997	0.16353758	0.26291028	0.17473862	0.0039249333	6.404919e-05	0.0017767443	3.8059483e-05	4.1478884e-06
a8	0.0037726238	0.0026728422	0.0010017115	0.014758528	0.0013908234	0.0036524136	0.00080852903	0.0053438824	0.018993314	0.04336474	0.08964191	0.12409138	0.12694523	0.1778479	0.3660633	0.008395614	0.00041347917	0.010505693	0.00032319853	1.289373e-05
a17	0.0069704456	0.0033411426	0.0025275454	0.026854146	0.0015106408	0.006140095	0.0010028639	0.0072787665	0.02141855	0.04679526	0.119398154	0.15501644	0.15128496	0.18480097	0.22001286	0.008647447	0.001362405	0.028513392	0.007039181	8.474165e-05
