 	vuole	andare	a	Lecce	</S>
a20	0.04459812	0.00016752869	0.019234737	0.9311296	0.004870019
a31	0.26752272	0.7065322	0.004470732	0.014392644	0.0070816195
a18	0.6627874	0.059578743	0.1446884	0.101169266	0.03177623
a46	0.004693485	0.07444101	0.11895378	0.630334	0.17157765
a37	0.008562165	0.019947197	0.1054081	0.84710133	0.018981228
a23	0.026415022	0.0010203302	0.037988745	0.93173504	0.0028408319
a18	0.14236061	0.0068206848	0.06495834	0.73063034	0.055230055
a38	0.13393399	0.026035434	0.06728631	0.7165201	0.05622423
a37	0.09665211	0.04338928	0.12477429	0.62952024	0.10566406
a31	0.13058603	0.11182189	0.21708244	0.2582467	0.28226292
a20	0.20377035	0.18177985	0.17096762	0.13695559	0.3065266
</S>	0.13261895	0.13683414	0.17923045	0.19692466	0.35439178
