 	non	ho	scritto	mai	una	lettera	al	mio	fratello	</S>
a31	0.46499574	0.38888976	0.005090301	4.9657065e-05	6.997395e-05	0.00018689675	0.036296748	0.10252404	0.00046071556	0.0014361736
a37	0.018328942	0.356902	0.13524131	0.025021214	0.3723403	0.07594347	0.00044173992	0.015381926	5.4128966e-05	0.0003449838
a31	0.024030812	0.032559678	0.044636592	0.5528055	0.24784677	0.093211904	0.00017429676	0.00017545249	0.00033780574	0.004221211
a20	0.022125032	0.028598156	0.09776584	0.38146624	0.41862452	0.048022456	0.00012587458	0.0001368634	0.00020283562	0.0029322354
a31	0.005717502	0.06895187	0.3638639	0.28205365	0.27175635	0.0075408616	2.9336097e-05	1.2095659e-05	1.2854451e-05	6.167189e-05
a13	0.082081184	0.17799716	0.50028723	0.028525671	0.18720059	0.012911603	0.010039727	0.0008542343	8.699874e-06	9.394261e-05
a31	0.12461231	0.09081621	0.20439008	0.021789104	0.44910833	0.04435961	0.054953504	0.009951639	3.6246402e-06	1.5549598e-05
a20	0.022594327	0.021472078	0.046672355	0.0048080576	0.1953732	0.12534407	0.41536468	0.16791436	0.0001328997	0.00032394138
a17	0.018047325	0.019466562	0.039222974	0.0022295313	0.11174992	0.2317905	0.41209534	0.16411413	0.000466333	0.0008174645
a20	0.01942945	0.021785285	0.03742338	0.0033704385	0.05829457	0.33079764	0.35194895	0.1741376	0.0006933174	0.0021193107
a31	0.022130221	0.02414549	0.035692424	0.008054616	0.038748257	0.49222097	0.23667943	0.13335204	0.00063055486	0.008345998
a20	0.04338371	0.04209057	0.044959564	0.03671235	0.053308897	0.3800908	0.12508091	0.09730444	0.0023497	0.17471911
a31	0.060873978	0.062044144	0.065888435	0.053422827	0.0656486	0.24649957	0.12696467	0.12081072	0.003288142	0.19455901
a3	0.05400715	0.05355663	0.05384605	0.052372154	0.05380674	0.06634144	0.063765444	0.06816238	0.011781987	0.52236
a8	0.05686805	0.057713345	0.05932722	0.053194817	0.05390577	0.056335542	0.061742138	0.06752993	0.018886201	0.514497
</S>	0.06349355	0.06427375	0.06589833	0.06076814	0.064370304	0.10409602	0.07431899	0.073589996	0.0037984164	0.42539254
