 	la	pasta	vuole	sale	</S>
a8	0.07297595	0.084800564	0.31637487	0.52414113	0.0017074574
a31	0.085229374	0.8016127	0.079412065	0.030814791	0.0029310698
a28	0.27501294	0.67720664	0.04463617	0.0027034723	0.00044089413
a20	0.23197562	0.094522215	0.2484901	0.39499068	0.03002147
a31	0.21259327	0.35798708	0.33244568	0.09551847	0.0014556027
a11	0.51341736	0.09928072	0.22298951	0.16319603	0.0011163471
a18	0.13136473	0.029934514	0.13678011	0.6595092	0.042411406
a15	0.14161746	0.07628689	0.13233244	0.54409534	0.10566788
a31	0.09169888	0.13383418	0.18536402	0.40797243	0.18113048
a20	0.13019265	0.12714441	0.14435332	0.33309084	0.2652188
a6	0.17552535	0.17699547	0.17718038	0.26418504	0.20611377
a20	0.21305525	0.21956684	0.17679171	0.21034884	0.1802373
a21	0.23370191	0.22800547	0.19289047	0.22598507	0.11941705
a20	0.24027379	0.2456161	0.19178854	0.1968775	0.12544411
a0	0.2566926	0.25246865	0.19897784	0.2172418	0.0746191
a31	0.26906702	0.28985965	0.20150538	0.1504921	0.08907587
a39	0.17502561	0.17425711	0.17195384	0.20349263	0.2752708
a31	0.18601471	0.18971638	0.1782743	0.20215721	0.24383748
a35	0.11280407	0.11281771	0.11362331	0.12731141	0.5334435
</S>	0.16999882	0.17263001	0.16416195	0.18732391	0.30588526
