 	ho	finito	di	scrivere	</S>
a38	0.026375622	0.015768863	0.074958615	0.8758984	0.0069984216
a31	0.05519776	0.88752896	0.029389596	0.027122406	0.00076122105
a15	0.118208766	0.81858456	0.03692784	0.023594284	0.0026845818
a18	0.13401403	0.66680056	0.15658957	0.038918436	0.0036774178
a31	0.45104292	0.26064557	0.2065352	0.08008262	0.0016936763
a37	0.49297363	0.15466681	0.24476925	0.10641041	0.0011799623
a31	0.40835223	0.106366605	0.32269093	0.156651	0.005939317
a0	0.55734414	0.20860147	0.16750485	0.04361883	0.022930652
a31	0.3518509	0.08022774	0.21876061	0.13330115	0.21585962
a18	0.2342546	0.13567275	0.18152669	0.19887097	0.2496751
a31	0.14167888	0.12522748	0.20455095	0.3821874	0.14635529
a39	0.1038978	0.09286327	0.105838	0.116955124	0.5804458
a20	0.08757203	0.08685795	0.099088825	0.16823569	0.5582455
a31	0.083406456	0.08286069	0.09066631	0.09440293	0.64866364
a8	0.0997522	0.098578066	0.100247435	0.050678972	0.6507433
a20	0.076658525	0.077098384	0.08341765	0.1613825	0.60144293
a31	0.09262196	0.09249997	0.09621367	0.07541402	0.64325035
</S>	0.118810035	0.11794689	0.117379785	0.04656192	0.59930146
