 	lo	sentii	che	viene	</S>
a43	0.23981206	0.005373336	0.04002051	0.70248735	0.0123066865
a17	0.16935258	0.05721821	0.5826116	0.174927	0.01589065
a11	0.9693161	0.006838989	0.018449226	0.00399557	0.0014001714
a31	0.4927997	0.0048384774	0.30096236	0.1818717	0.019527843
a46	0.12985733	0.011943439	0.5865431	0.26179302	0.009863195
a6	0.2414759	0.0013205074	0.45598125	0.30050096	0.0007213367
a31	0.29573953	0.0004421934	0.14339316	0.55667555	0.003749563
a15	0.7139511	0.048013892	0.028592115	0.19406028	0.015382536
a20	0.09923061	0.0075817914	0.12928243	0.68172026	0.08218486
a31	0.22382674	0.06729236	0.06275832	0.40191668	0.2442059
a17	0.29725316	0.16696462	0.076319054	0.2904497	0.16901344
a31	0.26207882	0.21828203	0.15571064	0.2040955	0.15983309
a13	0.24311005	0.22448266	0.17873268	0.072523154	0.28115144
a39	0.19844864	0.18696938	0.17227429	0.11106028	0.33124742
a46	0.18468072	0.1809438	0.16363697	0.068838865	0.4018997
a31	0.12718719	0.12457373	0.1258354	0.08354998	0.5388537
a18	0.1713337	0.17048411	0.16037066	0.058669116	0.43914235
</S>	0.10309531	0.10151629	0.10607131	0.08530055	0.6040166
