 	non	ha	che	li	aspettiamo	</S>
a46	0.2831176	0.088677555	0.097867765	0.26097777	0.25578117	0.013578114
a31	0.008646976	0.78270346	0.1865617	0.020353131	0.00012701417	0.0016077417
a15	0.6359937	0.15746903	0.1769872	0.02316855	0.002994035	0.0033872921
a31	0.1702952	0.5209112	0.15249702	0.034865312	0.0004728446	0.1209584
a28	0.07724182	0.19990711	0.4993819	0.20931911	0.0016224906	0.012527507
a20	0.1642669	0.05590719	0.62634796	0.14629753	0.00043775656	0.006742659
a11	0.4330798	0.063267544	0.45678478	0.025977736	0.00018038934	0.020709831
a31	0.4082359	0.13012505	0.27423486	0.05680536	0.0012733402	0.12932543
a11	0.28204644	0.2330889	0.14573312	0.09760377	0.15063702	0.09089076
a31	0.31390113	0.22464952	0.11490679	0.04786637	0.03677419	0.26190197
a46	0.1319527	0.12617701	0.11596269	0.09819287	0.14028181	0.38743293
a31	0.13638622	0.13188669	0.10780539	0.08568335	0.10680796	0.43143034
a11	0.096654065	0.09619745	0.093313254	0.09157455	0.09579835	0.5264624
a31	0.10315271	0.102069244	0.099089116	0.09332194	0.098111175	0.50425583
a11	0.11313623	0.11291547	0.11198086	0.111856125	0.11301114	0.43710014
a46	0.11175357	0.11112717	0.110042065	0.10682536	0.10887049	0.45138133
</S>	0.103447005	0.10297414	0.10008127	0.09522797	0.09824671	0.50002295
